gene	seqnames	start	end	strand	type	product	ID	Name	copy_number	part	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
ORF24	NC_001491.2	36588	46853	+	CDS	large tegument protein	cds-YP_053069.1	ORF24	1	1	L	cluster_5	0.987267245624675	0.951941162057395	3.64059601918931	-0.203100518271691
ORF25	NC_001491.2	46952	47311	-	CDS	small capsid protein	cds-YP_053070.1	ORF25	1	1	L	cluster_11	0.990416874568315	0.965202291264104	16.6975528965155	0.118340541734158
ORF26	NC_001491.2	47403	48230	-	CDS	nuclear egress membrane protein	cds-YP_053071.1	ORF26	1	1	L	cluster_2	0.920447195121348	0.771771845916462	6.64777700514547	0.504956919030238
ORF27	NC_001491.2	48369	48791	-	CDS	DNA packaging protein UL33	cds-YP_053072.2	ORF27	1	1	L	cluster_7	0.999512979974009	0.998067550440527	1.72675873659441	0.428967360328172
ORF28	NC_001491.2	48763	50625	+	CDS	DNA packaging protein UL32	cds-YP_053073.1	ORF28	1	1	L	cluster_5	0.987267245624675	0.951941162057395	3.67220744630566	-0.11191301392861
ORF29	NC_001491.2	50618	51598	+	CDS	nuclear egress lamina protein	cds-YP_053074.1	ORF29	1	1	L	cluster_2	0.920447195121348	0.771771845916462	8.50576594699371	0.652301932274112
ORF3	NC_001491.2	2841	3614	+	CDS	myristylated tegument protein CIRC	cds-YP_053048.1	ORF3	1	1	L	cluster_2	0.920447195121348	0.771771845916462	3.20109527860717	0.242682082834346
ORF30	NC_001491.2	51522	55184	-	CDS	DNA polymerase catalytic subunit	cds-YP_053075.1	ORF30	1	1	E	cluster_12	0.973679481076829	0.925096128669929	1.78326736750422	0.472796622227753
ORF31	NC_001491.2	55453	59082	+	CDS	single-stranded DNA-binding protein	cds-YP_053076.1	ORF31	1	1	E	cluster_1	0.729756833358824	0.341613198446497	9.65289260659323	0.433125807009039
ORF32	NC_001491.2	59243	61570	+	CDS	DNA packaging terminase subunit 2	cds-YP_053077.1	ORF32	1	1	E	cluster_5	0.987267245624675	0.951941162057395	3.49556036244562	-0.0572708330069611
ORF33	NC_001491.2	61432	64374	+	CDS	envelope glycoprotein B	cds-YP_053078.1	ORF33	1	1	L	cluster_4	0.984644526289824	0.927865021435498	1.46422520990123	0.536372535707654
ORF34	NC_001491.2	64578	65060	+	CDS	protein V32	cds-YP_053079.1	ORF34	1	1	unknown	cluster_1	0.729756833358824	0.341613198446497	19.064842333108	0.422917575256343
ORF35	NC_001491.2	65153	67093	-	CDS	capsid maturation protease	cds-YP_053080.1	ORF35	1	1	L	cluster_7	0.999512979974009	0.998067550440527	2.2540448573939	0.408907272138453
ORF35.5	NC_001491.2	65153	66142	-	CDS	capsid scaffold protein	cds-YP_053081.1	ORF35.5	1	1	L	cluster_11	0.990416874568315	0.965202291264104	5.97333502820333	0.349820602327808
ORF36	NC_001491.2	67212	68975	-	CDS	DNA packaging tegument protein UL25	cds-YP_053082.1	ORF36	1	1	L	cluster_2	0.920447195121348	0.771771845916462	4.52067117320247	0.433168573244628
ORF37	NC_001491.2	69079	69897	-	CDS	nuclear protein UL24	cds-YP_053083.1	ORF37	1	1	L	cluster_10	0.922020374168003	0.712285076987428	1.11101560614498	0.410027927386973
ORF38	NC_001491.2	69910	70968	+	CDS	thymidine kinase	cds-YP_053084.1	ORF38	1	1	L	cluster_1	0.729756833358824	0.341613198446497	5.60334099555561	0.463955140402975
ORF39	NC_001491.2	71192	73738	+	CDS	envelope glycoprotein H	cds-YP_053085.1	ORF39	1	1	L	cluster_8	0.991457454370036	0.966696717390598	1.56270347642153	0.229767490599113
ORF4	NC_001491.2	3647	4249	-	CDS	nuclear protein UL55	cds-YP_053049.1	ORF4	1	1	unknown	cluster_1	0.729756833358824	0.341613198446497	7.8704694010765	0.334965648056847
ORF40	NC_001491.2	74632	76224	-	CDS	tegument protein UL21	cds-YP_053086.1	ORF40	1	1	L	cluster_2	0.920447195121348	0.771771845916462	5.52387438841962	0.627808147585035
ORF41	NC_001491.2	76793	77512	+	CDS	envelope protein UL20	cds-YP_053087.1	ORF41	1	1	L	cluster_7	0.999512979974009	0.998067550440527	2.18616725293228	0.431247611976374
ORF42	NC_001491.2	77703	81833	+	CDS	major capsid protein	cds-YP_053088.1	ORF42	1	1	L	cluster_4	0.984644526289824	0.927865021435498	1.74742092081056	0.580777026518146
ORF43	NC_001491.2	82083	83027	+	CDS	capsid triplex subunit 2	cds-YP_053089.1	ORF43	1	1	L	cluster_11	0.990416874568315	0.965202291264104	2.15846511985043	0.511002644015997
ORF44	NC_001491.2	87886	88917	-	CDS	DNA packaging terminase subunit 1	cds-YP_053090.1	ORF44	1	1	L	cluster_7	0.999512979974009	0.998067550440527	1.51491563408265	0.296512731142616
ORF44	NC_001491.2	83148	84320	-	CDS	DNA packaging terminase subunit 1	ORF44_2	ORF44	1	2	L	cluster_7	0.999512979974009	0.998067550440527	1.51491563408265	0.296512731142616
ORF45	NC_001491.2	84480	86600	+	CDS	DNA packaging tegument protein UL17	cds-YP_053091.1	ORF45	1	1						
ORF46	NC_001491.2	86620	87732	+	CDS	tegument protein UL16	cds-YP_053092.1	ORF46	1	1	L	cluster_11	0.990416874568315	0.965202291264104	8.97395401674613	0.520057625648622
ORF48	NC_001491.2	88947	89900	+	CDS	tegument protein UL14	cds-YP_053093.1	ORF48	1	1	L	cluster_8	0.991457454370036	0.966696717390598	1.9497030968353	0.223413695429191
ORF49	NC_001491.2	89369	91153	+	CDS	tegument serine/threonine protein kinase	cds-YP_053094.1	ORF49	1	1	L	cluster_7	0.999512979974009	0.998067550440527	1.40384983949767	0.240933908124828
ORF5	NC_001491.2	4462	5874	-	CDS	multifunctional expression regulator	cds-YP_053050.1	ORF5	1	1	E	cluster_3	0.698468798741998	0.106362359196608	2.41704053158163	0.561700643892449
ORF50	NC_001491.2	91135	92832	+	CDS	deoxyribonuclease	cds-YP_053046.1	ORF50	1	1	L	cluster_1	0.729756833358824	0.341613198446497	8.59976725270354	0.297303320807164
ORF51	NC_001491.2	92784	93008	+	CDS	myristylated tegument protein	cds-YP_053095.1	ORF51	1	1	E	cluster_10	0.922020374168003	0.712285076987428	3.05521095329429	0.288760395146108
ORF52	NC_001491.2	93120	94472	-	CDS	envelope glycoprotein M	cds-YP_053096.1	ORF52	1	1	L	cluster_9	0.893568673326936	0.759660971305766	2.26156776242084	0.720651706957472
ORF53	NC_001491.2	94390	97053	+	CDS	DNA replication origin-binding helicase	cds-YP_053097.1	ORF53	1	1	E	cluster_12	0.973679481076829	0.925096128669929	5.39304373154194	0.367451819433915
ORF54	NC_001491.2	97069	99324	+	CDS	helicase-primase subunit	cds-YP_053098.2	ORF54	1	1	E	cluster_9	0.893568673326936	0.759660971305766	3.06593469875271	0.774990611770273
ORF55	NC_001491.2	99421	100332	-	CDS	tegument protein UL7	cds-YP_053099.1	ORF55	1	1						
ORF56	NC_001491.2	100130	102391	-	CDS	capsid portal protein	cds-YP_053100.1	ORF56	1	1						
ORF57	NC_001491.2	102375	105020	+	CDS	helicase-primase helicase subunit	cds-YP_053101.1	ORF57	1	1	L	cluster_8	0.991457454370036	0.966696717390598	3.46933705482425	-0.422263530777462
ORF58	NC_001491.2	105070	105747	+	CDS	nuclear protein UL4	cds-YP_053102.1	ORF58	1	1	L	cluster_11	0.990416874568315	0.965202291264104	8.5507034777867	0.541881490948154
ORF59	NC_001491.2	105877	106416	-	CDS	protein V57	cds-YP_053103.1	ORF59	1	1	L	cluster_7	0.999512979974009	0.998067550440527	1.50907756963442	0.332047012729916
ORF6	NC_001491.2	6011	7042	-	CDS	envelope glycoprotein K	cds-YP_053051.1	ORF6	1	1	L	cluster_4	0.984644526289824	0.927865021435498	4.17955955644271	0.318843295103947
ORF60	NC_001491.2	106478	107116	-	CDS	nuclear protein UL3	cds-YP_053104.1	ORF60	1	1	L	cluster_9	0.893568673326936	0.759660971305766	2.04454305956037	0.737094645008847
ORF61	NC_001491.2	107206	108144	-	CDS	uracil-DNA glycosylase	cds-YP_053105.1	ORF61	1	1	E	cluster_1	0.729756833358824	0.341613198446497	3.01343827078659	0.418191507215047
ORF62	NC_001491.2	108147	108704	-	CDS	envelope glycoprotein L	cds-YP_053106.2	ORF62	1	1	L	cluster_11	0.990416874568315	0.965202291264104	4.84895213313883	-0.100405366803095
ORF63	NC_001491.2	110387	111985	-	CDS	ubiquitin E3 ligase ICP0	cds-YP_053107.1	ORF63	1	1	E	cluster_12	0.973679481076829	0.925096128669929	6.34713104585278	-0.2361185671424
ORF64	NC_001491.2	114128	118591	-	CDS	transcriptional regulator ICP4	cds-YP_053108.1	ORF64	1	1	IE	cluster_5	0.987267245624675	0.951941162057395	3.0882689577444	0.305970206714488
ORF64_2	NC_001491.2	144569	149032	+	CDS	transcriptional regulator ICP4	cds-YP_053124.1	ORF64	2	1						
ORF65	NC_001491.2	121368	122249	+	CDS	regulatory protein ICP22	cds-YP_053109.1	ORF65	1	1	E	cluster_3	0.698468798741998	0.106362359196608	5.34039498046492	0.607269997755217
ORF65_2	NC_001491.2	140911	141792	-	CDS	regulatory protein ICP22	cds-YP_053123.1	ORF65	2	1						
ORF66	NC_001491.2	122862	123572	+	CDS	virion protein US10	cds-YP_053110.1	ORF66	1	1	unknown	cluster_10	0.922020374168003	0.712285076987428	2.01897025903554	0.326732229874413
ORF66_2	NC_001491.2	139588	140298	-	CDS	virion protein US10	cds-YP_053122.1	ORF66	2	1						
ORF67	NC_001491.2	124376	125194	-	CDS	virion protein V67	cds-YP_053111.1	ORF67	1	1	L	cluster_5	0.987267245624675	0.951941162057395	23.922310213452	-0.107455807531788
ORF67_2	NC_001491.2	137966	138784	+	CDS	virion protein V67	cds-YP_053121.1	ORF67	2	1						
ORF68	NC_001491.2	125019	126275	-	CDS	virion protein US2	cds-YP_053112.1	ORF68	1	1	L	cluster_8	0.991457454370036	0.966696717390598	1.97817986159299	0.0673983392463002
ORF69	NC_001491.2	126411	127559	+	CDS	serine/threonine protein kinase US3	cds-YP_053113.1	ORF69	1	1	E	cluster_3	0.698468798741998	0.106362359196608	5.46701122104181	0.346481684232087
ORF7	NC_001491.2	7056	10301	-	CDS	helicase-primase primase subunit	cds-YP_053052.1	ORF7	1	1	E	cluster_5	0.987267245624675	0.951941162057395	2.95654655133573	0.356164849549522
ORF70	NC_001491.2	127681	128916	+	CDS	envelope glycoprotein G	cds-YP_053114.1	ORF70	1	1	L	cluster_7	0.999512979974009	0.998067550440527	12.867001496423	0.101787808973566
ORF71	NC_001491.2	129097	131490	+	CDS	envelope glycoprotein J	cds-YP_053115.1	ORF71	1	1	unknown	cluster_8	0.991457454370036	0.966696717390598	2.6514788777145	0.0921815375595291
ORF72	NC_001491.2	131583	132791	+	CDS	envelope glycoprotein D	cds-YP_053116.2	ORF72	1	1	L	cluster_9	0.893568673326936	0.759660971305766	9.04172968837206	0.217185990385534
ORF73	NC_001491.2	132899	134173	+	CDS	envelope glycoprotein I	cds-YP_053117.1	ORF73	1	1	L	cluster_2	0.920447195121348	0.771771845916462	5.42836776940194	0.456182967889102
ORF74	NC_001491.2	134406	136058	+	CDS	envelope glycoprotein E	cds-YP_053118.1	ORF74	1	1	L	cluster_5	0.987267245624675	0.951941162057395	3.78761846797322	0.0102991467560052
ORF75	NC_001491.2	136055	136447	+	CDS	membrane protein US8A	cds-YP_053119.1	ORF75	1	1	unknown	cluster_5	0.987267245624675	0.951941162057395	3.73964243838147	-0.0565224288406678
ORF76	NC_001491.2	136783	137442	+	CDS	membrane protein US9	cds-YP_053120.1	ORF76	1	1	L	cluster_10	0.922020374168003	0.712285076987428	3.24382326575478	-0.161889879868392
ORF8	NC_001491.2	10300	11037	+	CDS	tegument protein UL51	cds-YP_053053.1	ORF8	1	1	L	cluster_2	0.920447195121348	0.771771845916462	2.23488431341757	0.413008127817212
ORF9	NC_001491.2	11135	12115	-	CDS	deoxyuridine triphosphatase	cds-YP_053054.1	ORF9	1	1	L	cluster_1	0.729756833358824	0.341613198446497	4.7497008160621	0.107061510923197
