seqnames	strand	gene	Ref_Class	final_TX_ID	source	start.TR	end.TR	exon_number	start.exon	end.exon	CAGE.cluster.start	CAGE.cluster.end	CAGE_ID	CAGE_significance	CAGE_score	CAGE_support	TX_category	EHV-1_12h_1	EHV-1_12h_2	EHV-1_12h_3	EHV-1_18h_1	EHV-1_18h_2	EHV-1_18h_3	EHV-1_1h_1	EHV-1_1h_2	EHV-1_1h_3	EHV-1_24h_1	EHV-1_24h_2	EHV-1_24h_3	EHV-1_2h_1	EHV-1_2h_2	EHV-1_2h_3	EHV-1_48h_1	EHV-1_48h_2	EHV-1_48h_3	EHV-1_4h_1	EHV-1_4h_2	EHV-1_4h_3	EHV-1_6h_1	EHV-1_6h_2	EHV-1_6h_3	EHV-1_8h_1	EHV-1_8h_2	EHV-1_8h_3
NC_001491.2	+	NOIR	TR545	TR545	Torma_et_al	118878	119857	2	119461	119857	118852	118905	CAGE_cluster_835	***	24468.663319812	9	NA	4	3	3	3	5	1	0	0	0	2	4	1	8	1	3	10	7	2	0	1	3	3	2	2	3	2	4
NC_001491.2	+	NOIR	TR546	TR546	Torma_et_al	118878	119857	1	118878	119224	118852	118905	CAGE_cluster_835	***	24468.663319812	9	NA	1	1	0	3	0	1	0	0	0	2	2	3	0	0	1	10	4	4	0	0	0	0	0	0	0	1	1
NC_001491.2	+	NOIR	TR546	TR546	Torma_et_al	118878	119857	2	119461	119857	118852	118905	CAGE_cluster_835	***	24468.663319812	9	NA	1	1	0	3	0	1	0	0	0	2	2	3	0	0	1	10	4	4	0	0	0	0	0	0	0	1	1
NC_001491.2	+	NOIR	TR551	TR551	Torma_et_al	119050	119857	1	119050	119136	NA	NA		NA	NA	NA	NA	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0
NC_001491.2	+	NOIR	TR551	TR551	Torma_et_al	119050	119857	2	119461	119857	NA	NA		NA	NA	NA	NA	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0
NC_001491.2	+	NOIR_1	NOIR_1-Non-coding-Long-novTX_195	novTX_195	Tombacz_et_al	118856	119857	1	118856	119857	118852	118905	CAGE_cluster_835	***	NA	9	Non-coding-Long	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
NC_001491.2	+	ORF1	ORF1	ORF1	Torma_et_al	1252	1923	1	1252	1923	1249	1257	CAGE_cluster_5	***	46113.869491894	9	NA	175	120	127	61	49	33	0	0	0	46	31	30	20	21	15	102	77	25	12	13	21	25	20	34	60	96	92
NC_001491.2	+	ORF1	ORF1-ORF2-ORF3-CX-Canonic	ORF1-ORF2-ORF3-CX-Canonic	Torma_et_al	1252	3632	1	1252	3632	1249	1257	CAGE_cluster_5	***	46113.869491894	9	NA	11	5	0	0	0	0	0	0	0	5	1	2	0	0	0	7	3	0	0	0	0	0	0	0	1	4	1
NC_001491.2	+	ORF1	ORF1-ORF2-ORF3-CX-Long	ORF1-ORF2-ORF3-CX-Long	Torma_et_al	989	3632	1	989	3632	988	989	CAGE_cluster_3	**	1583.62946212	3	NA	0	0	2	0	0	1	0	0	0	1	0	2	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF1	ORF1-Putative mRNA-novTX_272	novTX_272	Tombacz_et_al	1629	1923	1	1629	1923	1594	1637	CAGE_cluster_9	**	NA	3	Putative mRNA	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_001491.2	+	ORF1	ORF1-Putative mRNA-novTX_320	novTX_320	Tombacz_et_al	1613	1923	1	1613	1923	1594	1637	CAGE_cluster_9	**	NA	3	Putative mRNA	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	1	4	0	1	1
NC_001491.2	+	ORF10	ORF10-ORF11-ORF12-PC-Canonic	ORF10-ORF11-ORF12-PC-Canonic	Torma_et_al	11990	14971	1	11990	14971	11986	11998	CAGE_cluster_68	***	122249.795999919	9	NA	5	0	0	1	4	0	0	0	0	8	8	9	0	0	0	16	15	19	0	0	0	0	0	0	2	0	3
NC_001491.2	+	ORF10	ORF10-ORF11-PC-Canonic	ORF10-ORF11-PC-Canonic	Torma_et_al	11990	13520	1	11990	13520	11986	11998	CAGE_cluster_68	***	122249.795999919	9	NA	104	56	60	45	32	26	0	0	0	79	67	63	16	14	16	182	131	79	10	6	10	4	7	5	13	26	53
NC_001491.2	+	ORF10	ORF9-ORF10-ORF11-CX-Canonic	ORF9-ORF10-ORF11-CX-Canonic	Torma_et_al	10875	13520	1	10875	13520	10875	10880	CAGE_cluster_56	***	1720.510980111	5	NA	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF11	ORF11	ORF11	Torma_et_al	12468	13520	1	12468	13520	NA	NA		NA	NA	NA	NA	395	235	225	98	81	76	0	0	0	109	59	55	1	2	1	168	113	42	1	3	2	45	50	55	113	175	181
NC_001491.2	+	ORF11	ORF11-ORF12-PC-Canonic	ORF11-ORF12-PC-Canonic	Torma_et_al	12156	14971	1	12156	14971	NA	NA		NA	NA	NA	NA	1	0	2	2	1	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF11	ORF11-ORF12-PC-Short	ORF11-ORF12-PC-Short	Torma_et_al	12468	14971	1	12468	14971	NA	NA		NA	NA	NA	NA	19	11	6	3	1	1	0	0	0	4	0	5	0	0	0	10	12	4	0	0	0	0	0	0	4	4	9
NC_001491.2	+	ORF11	ORF11.5	ORF11.5	Torma_et_al	12875	13520	1	12875	13520	NA	NA		NA	NA	NA	NA	80	48	65	110	63	56	0	0	0	66	53	37	1	3	3	40	31	10	4	8	5	41	29	45	18	23	12
NC_001491.2	+	ORF12	ORF12	ORF12	Torma_et_al	13528	14971	1	13528	14971	13493	13528	CAGE_cluster_83	***	20551.839035505	9	NA	563	355	322	430	318	299	0	0	0	913	612	532	0	0	0	1002	680	419	0	0	2	10	10	10	46	47	59
NC_001491.2	+	ORF12	ORF12-AT	ORF12-AT	Torma_et_al	13528	16341	1	13528	16341	13493	13528	CAGE_cluster_83	***	20551.839035505	9	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF12	ORF12-L1	ORF12-L1	Torma_et_al	12661	14971	1	12661	14971	NA	NA		NA	NA	NA	NA	3	1	1	3	3	1	0	0	0	7	4	4	0	0	0	2	5	0	0	0	0	0	0	0	1	0	0
NC_001491.2	+	ORF12	ORF12-L2	ORF12-L2	Torma_et_al	12875	14971	1	12875	14971	NA	NA		NA	NA	NA	NA	7	10	7	8	7	1	0	0	0	14	17	11	0	0	0	11	8	0	1	0	0	0	0	0	1	0	1
NC_001491.2	+	ORF12	ORF12-Monocistronic-Long-novTX_193	novTX_193	Tombacz_et_al	13509	14971	1	13509	14971	13493	13528	CAGE_cluster_83	***	NA	9	Monocistronic-Long	1	0	2	0	0	1	0	0	0	0	0	2	0	0	0	3	2	1	0	0	0	0	0	0	0	0	1
NC_001491.2	+	ORF12	ORF12-Monocistronic-Short-novTX_199	novTX_199	Tombacz_et_al	13560	14971	1	13560	14971	13549	13563	CAGE_cluster_84	***	NA	8	Monocistronic-Short	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1
NC_001491.2	+	ORF12	ORF12-ORF13-ORF14-PC-Canonic	ORF12-ORF13-ORF14-PC-Canonic	Torma_et_al	13528	20385	1	13528	20385	13493	13528	CAGE_cluster_83	***	20551.839035505	9	NA	2	0	0	1	0	0	0	0	0	5	5	3	0	0	0	5	1	6	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF13	ORF13-Multicistronic-Long-novTX_4	novTX_4	Tombacz_et_al	15195	20385	1	15195	20385	15187	15263	CAGE_cluster_101	***	NA	9	Multicistronic-Long	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF13	ORF13-Multicistronic-Short-novTX_306	novTX_306	Tombacz_et_al	15260	20385	1	15260	20385	15187	15263	CAGE_cluster_101	***	NA	9	Multicistronic-Short	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF13	ORF13-ORF14-PC-Canonic	ORF13-ORF14-PC-Canonic	Torma_et_al	15234	20385	1	15234	20385	15187	15263	CAGE_cluster_101	***	49270.838652001	9	NA	113	61	56	22	12	12	0	0	0	198	125	97	0	0	0	103	73	176	0	0	0	0	0	0	7	7	9
NC_001491.2	+	ORF13	ORF13-ORF14-PC-Long	ORF13-ORF14-PC-Long	Torma_et_al	15083	20385	1	15083	20385	15077	15115	CAGE_cluster_99	***	55963.691315395	9	NA	171	81	86	11	14	11	0	0	0	101	64	56	8	3	3	50	25	46	5	6	4	4	5	4	38	61	81
NC_001491.2	+	ORF14	ORF14	ORF14	Torma_et_al	17985	20385	1	17985	20385	17951	18020	CAGE_cluster_138	***	63752.914516575	9	NA	233	123	137	43	30	24	0	0	0	77	45	34	2	3	1	72	46	33	5	3	1	9	10	10	82	116	128
NC_001491.2	+	ORF14	ORF14-L1	ORF14-L1	Torma_et_al	15647	20385	1	15647	20385	15629	15647	CAGE_cluster_110	*	322.146358587	2	NA	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF14	ORF14-L2	ORF14-L2	Torma_et_al	15982	20385	1	15982	20385	NA	NA		NA	NA	NA	NA	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
NC_001491.2	+	ORF14	ORF14-L3	ORF14-L3	Torma_et_al	16505	20385	1	16505	20385	NA	NA		NA	NA	NA	NA	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	1	0	0
NC_001491.2	+	ORF14	ORF14-L4	ORF14-L4	Torma_et_al	16796	20385	1	16796	20385	NA	NA		NA	NA	NA	NA	6	1	4	7	4	6	0	0	0	6	6	3	0	0	0	9	0	6	0	0	1	1	2	0	1	3	5
NC_001491.2	+	ORF14	ORF14-L5	ORF14-L5	Torma_et_al	17231	20385	1	17231	20385	17222	17231	CAGE_cluster_128	***	3600.301543071	8	NA	4	2	4	0	0	0	0	0	0	2	3	0	0	0	0	7	3	2	0	0	0	0	0	0	1	2	0
NC_001491.2	+	ORF14	ORF14-L6	ORF14-L6	Torma_et_al	17484	20385	1	17484	20385	NA	NA		NA	NA	NA	NA	4	5	2	4	2	3	0	0	0	16	7	4	0	0	0	10	5	0	0	0	0	0	0	0	1	1	0
NC_001491.2	+	ORF14	ORF14-L7	ORF14-L7	Torma_et_al	17716	20385	1	17716	20385	NA	NA		NA	NA	NA	NA	11	7	11	23	13	12	0	0	0	34	20	25	0	0	0	8	2	0	0	0	3	2	3	1	3	2	1
NC_001491.2	+	ORF14	ORF14-Monocistronic-Long-novTX_11	novTX_11	Tombacz_et_al	15746	20385	1	15746	20385	15731	15755	CAGE_cluster_113	***	NA	6	Monocistronic-Long	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_001491.2	+	ORF14	ORF14-Monocistronic-Long-novTX_14	novTX_14	Tombacz_et_al	15828	20385	1	15828	20385	15815	15859	CAGE_cluster_115	**	NA	5	Monocistronic-Long	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_001491.2	+	ORF14	ORF14-Monocistronic-Long-novTX_19	novTX_19	Tombacz_et_al	17503	20385	1	17503	20385	17500	17527	CAGE_cluster_132	***	NA	3	Monocistronic-Long	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF14	ORF14-Monocistronic-Long-novTX_20	novTX_20	Tombacz_et_al	17967	20385	1	17967	20385	17951	18020	CAGE_cluster_138	***	NA	9	Monocistronic-Long	2	0	0	2	2	1	0	0	0	3	0	0	0	0	0	1	1	1	0	0	0	0	2	1	2	2	1
NC_001491.2	+	ORF14	ORF14-Monocistronic-Long-novTX_244	novTX_244	Tombacz_et_al	17518	20385	1	17518	20385	17500	17527	CAGE_cluster_132	***	NA	3	Monocistronic-Long	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_001491.2	+	ORF14	ORF14-Monocistronic-Long-novTX_296	novTX_296	Tombacz_et_al	17455	20385	1	17455	20385	17444	17474	CAGE_cluster_131	***	NA	6	Monocistronic-Long	2	3	1	3	2	0	0	0	0	8	2	1	0	0	0	4	2	2	0	0	0	1	0	0	0	1	1
NC_001491.2	+	ORF14	ORF14-Monocistronic-Long-novTX_9	novTX_9	Tombacz_et_al	15673	20385	1	15673	20385	15668	15684	CAGE_cluster_111	***	NA	8	Monocistronic-Long	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1
NC_001491.2	+	ORF14	ORF14-Monocistronic-Short-novTX_22	novTX_22	Tombacz_et_al	17998	20385	1	17998	20385	17951	18020	CAGE_cluster_138	***	NA	9	Monocistronic-Short	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
NC_001491.2	+	ORF14	ORF14-Monocistronic-Short-novTX_23	novTX_23	Tombacz_et_al	18016	20385	1	18016	20385	17951	18020	CAGE_cluster_138	***	NA	9	Monocistronic-Short	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_24	novTX_24	Tombacz_et_al	18151	20385	1	18151	20385	18128	18154	CAGE_cluster_141	**	NA	4	Putative mRNA	2	2	2	3	4	0	0	0	0	5	1	2	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_25	novTX_25	Tombacz_et_al	18487	20385	1	18487	20385	18485	18515	CAGE_cluster_147	**	NA	4	Putative mRNA	0	0	0	3	2	3	0	0	0	0	2	1	0	0	0	6	2	5	0	1	0	3	0	1	0	1	1
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_28	novTX_28	Tombacz_et_al	19287	20385	1	19287	20385	19217	19290	CAGE_cluster_159	***	NA	6	Putative mRNA	1	1	0	3	0	3	0	0	0	2	1	0	0	0	0	3	3	1	0	0	2	3	0	1	0	1	2
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_281	novTX_281	Tombacz_et_al	18370	20385	1	18370	20385	18363	18382	CAGE_cluster_144	**	NA	4	Putative mRNA	1	3	1	5	4	2	0	0	0	2	2	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_282	novTX_282	Tombacz_et_al	19152	20385	1	19152	20385	19150	19171	CAGE_cluster_158	**	NA	3	Putative mRNA	2	0	0	0	1	0	0	0	0	2	2	1	0	0	0	1	2	2	0	0	0	0	0	1	0	0	0
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_283	novTX_283	Tombacz_et_al	19224	20385	1	19224	20385	19217	19290	CAGE_cluster_159	***	NA	6	Putative mRNA	2	2	3	4	6	1	0	0	0	3	3	1	0	0	0	6	2	0	0	1	0	1	1	0	0	1	0
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_29	novTX_29	Tombacz_et_al	19331	20385	1	19331	20385	19322	19347	CAGE_cluster_160	**	NA	5	Putative mRNA	1	1	3	4	2	3	0	0	0	3	2	1	0	0	0	2	1	1	0	0	0	2	2	0	1	1	3
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_297	novTX_297	Tombacz_et_al	18093	20385	1	18093	20385	18090	18097	CAGE_cluster_140	**	NA	5	Putative mRNA	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_298	novTX_298	Tombacz_et_al	19091	20385	1	19091	20385	19085	19110	CAGE_cluster_157	**	NA	3	Putative mRNA	3	1	1	4	2	2	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	1	0	2	1	1	1
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_31	novTX_31	Tombacz_et_al	19579	20385	1	19579	20385	19561	19597	CAGE_cluster_162	**	NA	5	Putative mRNA	3	4	1	1	1	2	0	0	0	3	0	2	0	1	0	4	4	1	0	0	0	0	0	0	0	2	1
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_32	novTX_32	Tombacz_et_al	19640	20385	1	19640	20385	19628	19686	CAGE_cluster_163	***	NA	9	Putative mRNA	8	5	3	2	0	3	0	0	0	1	2	3	0	0	0	3	3	0	0	0	0	4	1	3	1	2	4
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_339	novTX_339	Tombacz_et_al	19907	20385	1	19907	20385	19907	19913	CAGE_cluster_168	**	NA	5	Putative mRNA	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_34	novTX_34	Tombacz_et_al	19675	20385	1	19675	20385	19628	19686	CAGE_cluster_163	***	NA	9	Putative mRNA	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	4	2	3	0	0	0	0	1	1	1	0	2
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_349	novTX_349	Tombacz_et_al	19745	20385	1	19745	20385	19741	19749	CAGE_cluster_165	***	NA	7	Putative mRNA	2	1	0	2	1	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	2	1	0	0	0	1
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_35	novTX_35	Tombacz_et_al	19795	20385	1	19795	20385	19794	19826	CAGE_cluster_166	**	NA	3	Putative mRNA	1	2	0	1	0	3	0	0	0	1	0	0	0	0	0	6	1	1	0	0	0	0	1	3	0	0	2
NC_001491.2	+	ORF14	ORF14-Putative mRNA-novTX_36	novTX_36	Tombacz_et_al	19886	20385	1	19886	20385	19866	19886	CAGE_cluster_167	**	NA	5	Putative mRNA	1	4	2	4	2	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	2	1	3	0
NC_001491.2	+	ORF14	ORF14.5	ORF14.5	Torma_et_al	19661	20385	1	19661	20385	19628	19686	CAGE_cluster_163	***	77902.069581753	9	NA	340	255	273	92	64	43	0	0	0	48	31	33	1	0	0	75	43	30	0	2	2	94	102	117	150	215	237
NC_001491.2	+	ORF15	asORF15-ORF16	asORF15-ORF16	Torma_et_al	20457	23721	1	20457	23721	NA	NA		NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF17	as17-Canonic	as17-Canonic	Torma_et_al	23857	24419	1	23857	24419	NA	NA		NA	NA	NA	NA	0	3	0	2	2	1	0	0	0	2	1	2	0	0	0	4	4	0	0	0	0	0	0	0	0	1	0
NC_001491.2	+	ORF17	as17-Long-3	as17-Long-3	Torma_et_al	23079	24419	1	23079	24419	23079	23079	CAGE_cluster_182	*	309.564999042	2	NA	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF17	as17-Long1	as17-Long1	Torma_et_al	23686	24419	1	23686	24419	NA	NA		NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF17	as17-Long2	as17-Long2	Torma_et_al	23099	24419	1	23099	24419	NA	NA		NA	NA	NA	NA	1	0	1	1	0	0	0	0	0	1	1	3	0	0	0	6	1	1	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF19	ORF16-ORF17-ORF18-ORF19-CX-Canonic	ORF16-ORF17-ORF18-ORF19-CX-Canonic	Torma_et_al	21328	27784	1	21328	27784	NA	NA		NA	NA	NA	NA	7	1	1	0	0	0	0	0	0	4	6	4	0	0	0	6	3	6	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF19	ORF17-ORF18-ORF19-CX-Canonic	ORF17-ORF18-ORF19-CX-Canonic	Torma_et_al	21474	27784	1	21474	27784	NA	NA		NA	NA	NA	NA	2	0	1	1	0	0	0	0	0	3	2	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF19	ORF17-ORF18-ORF19-CX-Short	ORF17-ORF18-ORF19-CX-Short	Torma_et_al	21493	27784	1	21493	27784	NA	NA		NA	NA	NA	NA	2	2	2	0	0	0	0	0	0	2	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF19	ORF17-ORF18-ORF19-CX-Short-2	ORF17-ORF18-ORF19-CX-Short-2	Torma_et_al	22580	27784	1	22580	27784	22580	22580	CAGE_cluster_176	***	2188.578868196	6	NA	2	2	3	0	0	0	0	0	0	5	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF19	ORF18-ORF19-CX-Canonic	ORF18-ORF19-CX-Canonic	Torma_et_al	23099	27784	1	23099	27784	NA	NA		NA	NA	NA	NA	5	2	2	3	2	0	0	0	0	21	20	12	0	0	0	23	13	15	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF19	ORF18-ORF19-CX-Long	ORF18-ORF19-CX-Long	Torma_et_al	23079	27784	1	23079	27784	23079	23079	CAGE_cluster_182	*	309.564999042	2	NA	3	2	2	0	1	0	0	0	0	15	3	3	0	0	0	14	10	2	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF19	ORF18-ORF19-CX-Short	ORF18-ORF19-CX-Short	Torma_et_al	23686	27784	1	23686	27784	NA	NA		NA	NA	NA	NA	0	0	1	0	0	1	0	0	0	5	2	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF19	ORF18-ORF19-CX-Short-2	ORF18-ORF19-CX-Short-2	Torma_et_al	23857	27784	1	23857	27784	NA	NA		NA	NA	NA	NA	6	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF19	ORF19	ORF19	Torma_et_al	26161	27784	1	26161	27784	NA	NA		NA	NA	NA	NA	58	28	35	9	4	8	0	0	0	8	6	9	0	0	0	15	12	4	1	1	4	11	10	14	18	38	24
NC_001491.2	+	ORF19	ORF19-L1	ORF19-L1	Torma_et_al	24861	27784	1	24861	27784	24861	24861	CAGE_cluster_190	*	867.940035772	2	NA	5	2	4	5	2	3	0	0	0	6	4	5	0	0	0	4	4	6	0	0	0	0	0	1	0	1	1
NC_001491.2	+	ORF19	ORF19-L2	ORF19-L2	Torma_et_al	25481	27784	1	25481	27784	NA	NA		NA	NA	NA	NA	14	10	1	3	8	7	0	0	0	13	10	13	0	0	0	13	12	33	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF19	ORF19-Putative mRNA-novTX_40	novTX_40	Tombacz_et_al	26566	27784	1	26566	27784	26550	26594	CAGE_cluster_194	**	NA	5	Putative mRNA	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
NC_001491.2	+	ORF19	ORF19-Putative mRNA-novTX_42	novTX_42	Tombacz_et_al	27258	27784	1	27258	27784	27257	27281	CAGE_cluster_196	***	NA	8	Putative mRNA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
NC_001491.2	+	ORF23	ORF21-ORF22-ORF23-CX-Canonic	ORF21-ORF22-ORF23-CX-Canonic	Torma_et_al	28668	36380	1	28668	36380	28667	28668	CAGE_cluster_198	**	954.169666579	4	NA	2	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
