seqnames	type	CDS.start	CDS.end	strand	gene	gene_cluster	cluster	TSS.canonic	TES.canonic	cluster_TES	TSS.win.start	TSS.win.end	TES.win.start	TES.win.end	TSS.win.width	TES.win.width	Kinetic_class	Gene.width	individual_TES
NC_001491.2	gene	102375	105020	+	ORF57	ORF57, ORF58	A	101606	105836	105836	101596	101616	105826	105846	21	21	L	4230	
NC_001491.2	gene	105070	105747	+	ORF58	ORF57, ORF58	B	105006	105836	105836	104996	105016	105826	105846	21	21	L	830	
NC_001491.2	gene	105877	106416	-	ORF59	ORF62, ORF61, ORF60,ORF59	D	106801	105829	105829	106791	106811	105819	105839	21	21	L	972	
NC_001491.2	gene	106478	107116	-	ORF60	ORF62, ORF61, ORF60,ORF59	C	107137	105829	105829	107127	107147	105819	105839	21	21	L	1308	
NC_001491.2	gene	107206	108144	-	ORF61	ORF62, ORF61, ORF60,ORF59	B	108317	105829	105829	108307	108327	105819	105839	21	21	E	2488	
NC_001491.2	gene	108147	108704	-	ORF62	ORF62, ORF61, ORF60,ORF59	A	108732	105829	105829	108722	108742	105819	105839	21	21	L	2903	
NC_001491.2	gene	110387	111985	-	ORF63	ORF63	NA	112033	110319	110319	112023	112043	110309	110329	21	21	E	1714	
NC_001491.2	gene	114128	118591	-	ORF64_1	ORF64_1	NA	118756	113821	113821	118746	119224	113811	113831	479	21	IE	4935	
NC_001491.2	NC-gene	118878	119857	+	NOIR_1	NOIR_1	NA	118813	119857	119857	118803	118823	119847	119867	21	21	NA	1044	
NC_001491.2	gene	121368	122249	+	ORF65_1	ORF65_1	NA	121002	122451	122451	120992	121012	122441	122461	21	21	E	1449	
NC_001491.2	gene	122862	123572	+	ORF66_1	ORF66_1	NA	122825	123602	123602	122815	122835	123592	123612	21	21	NA	777	
NC_001491.2	gene	124376	125194	-	ORF67_1	ORF68, ORF67_1	B	125335	124283	124283	125325	125345	124273	124293	21	21	L	1052	
NC_001491.2	gene	125019	126275	-	ORF68	ORF68, ORF67_1	A	126358	124283	124283	126348	126368	124273	124293	21	21	L	2075	
NC_001491.2	gene	126411	127559	+	ORF69	ORF69, ORF70	A	126338	128944	128944	126328	126348	128934	128954	21	21	E	2606	
NC_001491.2	gene	127681	128916	+	ORF70	ORF69, ORF70	B	127634	128944	128944	127624	127644	128934	128954	21	21	L	1310	
NC_001491.2	gene	129097	131490	+	ORF71	ORF71, ORF72, ORF73	A	129051	134249	134249	129041	129061	134239	134259	21	21	NA	5198	
NC_001491.2	gene	131583	132791	+	ORF72	ORF71, ORF72, ORF73	B	131515	134249	134249	131505	131525	134239	134259	21	21	L	2734	
NC_001491.2	gene	132899	134173	+	ORF73	ORF71, ORF72, ORF73	C	132857	134249	134249	132847	132867	134239	134259	21	21	L	1392	
NC_001491.2	gene	134406	136058	+	ORF74	ORF74, ORF75, ORF76, ORF67 _2	A	134347	138877	138877	134337	134357	138867	138887	21	21	L	4530	
NC_001491.2	gene	136055	136447	+	ORF75	ORF74, ORF75, ORF76, ORF67 _2	B	135564	138877	138877	135554	135574	138867	138887	21	21	NA	3313	
NC_001491.2	gene	136783	137442	+	ORF76	ORF74, ORF75, ORF76, ORF67 _2	C	136583	138877	138877	136573	136593	138867	138887	21	21	L	2294	
NC_001491.2	gene	137966	138784	+	ORF67_2	ORF74, ORF75, ORF76, ORF67 _2	D	137825	138877	138877	137815	137835	138867	138887	21	21	L	1052	
NC_001491.2	gene	139588	140298	-	ORF66_2	ORF66_2	NA	140335	139558	139558	140325	140345	139548	139568	21	21	NA	777	
NC_001491.2	gene	140911	141792	-	ORF65_2	ORF65_2	NA	142158	140709	140709	142148	142168	140699	140719	21	21	E	1449	
NC_001491.2	NC-gene	143303	144282	-	NOIR_2	NOIR_2	NA	144282	143303	143303	144272	144292	143293	143313	21	21	NA	979	
NC_001491.2	gene	144569	149032	+	ORF64_2	ORF64_2	NA	144404	149339	149339	143936	144414	149329	149349	479	21	IE	4935	
