transcript_id	seqnames	strand	gene	source	TX_category	NAGATA.transcript_id	NAGATA.prime5.TR	NAGATA.support	NAGATE.distance	CAGE_significance	CAGE_support	CAGE_score	EX_1	EX_2	EX_3	EX_4	1h	2h	4h	6h	8h	12h	18h	24h	48h	sum_dcDNA_read_count	presence	CAGE_TSS_ratio	putatives_to_keep
NOIR-Canonic	NC_001491.2	+	NOIR	Torma_et_al	Non-coding	mRNA.TU.37-TSS.4596.1-0--33.33::+	118891	distance <= 25	13	***	9	24468.663319812	118878-119857				0	17	9	66	94	198	56	50	94	584	8		
NOIR-ORF64-CX-Canonic	NC_001491.2	-	NOIR	Torma_et_al	Multicistronic			NA		*	1	466.272925086	113821-120390				0	0	0	0	0	1	0	0	1	2	2		
NOIR-ORF65-PC-Canonic	NC_001491.2	+	NOIR	Torma_et_al	Multicistronic	mRNA.TU.37-TSS.4596.1-0--33.33::+	118891	distance <= 100	80	**	3	827.784834717	118811-122451				0	0	0	0	0	0	1	0	0	1	1		
NOIR-ORF65.1	NC_001491.2	-		Torma_et_al	Multicistronic	mRNA.TU.49-TSS.4289.1-0--17.65::-	144269	distance <= 100	54				140709-144215																
NOIR_1-Non-coding-Long-novTX_195	NC_001491.2	+	NOIR_1	Tombacz_et_al	Non-coding-Long	mRNA.TU.37-TSS.4596.1-0--33.33::+	118891	distance <= 50	35	***	9		118856-119857				0	0	0	0	1	0	1	0	2	4	3		
NOIR_2-Non-coding-long-novTX_685	NC_001491.2	-	NOIR_2	Tombacz_et_al	Non-coding-long	mRNA.TU.49-TSS.4289.1-0--17.65::-	144269	distance <= 50	33	***	9		143303-144302				0	0	0	0	1	0	1	0	2	4	3		
NOIR_2-Non-coding-short-novTX_731	NC_001491.2	-	NOIR_2	Tombacz_et_al	Non-coding-short	mRNA.TU.49-TSS.4289.1-0--17.65::-	144269	distance <= 25	9	***	9		143303-144260				0	0	0	0	0	0	0	1	1	2	2		
ORF1	NC_001491.2	+	ORF1	Torma_et_al	Monocistronic	mRNA.TU.1-TSS.7.1-0--0.59::+	1260	distance <= 25	8	***	9	46113.869491894	1252-1923				0	56	46	79	248	422	143	107	204	1305	8		
ORF1-ORF2-ORF3-CX-Canonic	NC_001491.2	+	ORF1	Torma_et_al	Multicistronic	mRNA.TU.1-TSS.7.1-0--0.59::+	1260	distance <= 25	8	***	9	46113.869491894	1252-3632				0	0	0	0	6	16	0	8	10	40	4		
ORF1-ORF2-ORF3-CX-Long	NC_001491.2	+	ORF1	Torma_et_al	Multicistronic-Long			NA		**	3	1583.62946212	989-3632				0	0	0	0	0	2	1	3	9	15	4		
ORF1-Putative mRNA-novTX_272	NC_001491.2	+	ORF1	Tombacz_et_al	Putative mRNA	mRNA.TU.1-TSS.69.1-0--0.75::+	1627	distance <= 25	2	**	3		1629-1923				0	0	0	1	0	1	3	0	0	5	3	0.0150779453105035	
ORF1-Putative mRNA-novTX_320	NC_001491.2	+	ORF1	Tombacz_et_al	Putative mRNA	mRNA.TU.1-TSS.65.1-0--2.01::+	1614	distance <= 25	1	**	3		1613-1923				0	0	1	5	2	1	3	0	4	16	6	0.0150779453105035	
ORF10-ORF11-ORF12-PC-Canonic	NC_001491.2	+	ORF10	Torma_et_al	Multicistronic	mRNA.TU.5-TSS.271.1-0--0.05::+	11998	distance <= 25	8	***	9	122249.795999919	11990-14971				0	0	0	0	5	5	5	25	50	90	5		
ORF10-ORF11-PC-Canonic	NC_001491.2	+	ORF10	Torma_et_al	Multicistronic	mRNA.TU.5-TSS.271.1-0--0.05::+	11998	distance <= 25	8	***	9	122249.795999919	11990-13520				0	46	26	16	92	220	103	209	392	1104	8		
ORF10-ORF9-CX-Canonic	NC_001491.2	-	ORF9	Torma_et_al	Multicistronic			NA		*	1	223.638600022	11064-12728				0	0	0	0	2	30	5	16	13	66	5		
ORF10-ORF9-CX-Long	NC_001491.2	-	ORF9	Torma_et_al	Multicistronic-Long			NA					11064-12785				0	0	0	0	4	16	6	5	6	37	5		
ORF10-ORF9-CX-Long-2	NC_001491.2	-	ORF9	Torma_et_al	Multicistronic-Long			NA					11064-12908				0	0	0	0	0	1	1	2	2	6	4		
ORF10-ORF9-CX-Long-3	NC_001491.2	-	ORF9	Torma_et_al	Multicistronic-Long			NA					11064-13390				0	0	0	0	1	19	5	11	19	55	5		
ORF11	NC_001491.2	+	ORF11	Torma_et_al	Monocistronic	mRNA.TU.5-TSS.312.1-0--0.09::+	12465	distance <= 25	3				12468-13520				0	4	6	150	469	855	255	223	323	2285	8		
ORF11-ORF10-ORF9-CX-Long	NC_001491.2	-	ORF9	Torma_et_al	Multicistronic-Long	mRNA.TU.4-TSS.605.3-0--0.2::-	14894	distance <= 25	13				11064-14907				0	0	0	0	0	6	3	7	5	21	4		
ORF11-ORF12-PC-Canonic	NC_001491.2	+	ORF11	Torma_et_al	Multicistronic	mRNA.TU.5-TSS.278.1-0--0.04::+	12111	distance <= 50	45				12156-14971				0	0	0	0	0	3	3	4	3	13	4		
ORF11-ORF12-PC-Short	NC_001491.2	+	ORF11	Torma_et_al	Multicistronic-Short	mRNA.TU.5-TSS.312.1-0--0.09::+	12465	distance <= 25	3				12468-14971				0	0	0	0	17	36	5	9	26	93	5		
ORF11.5	NC_001491.2	+	ORF11	Torma_et_al	Putative mRNA	mRNA.TU.5-TSS.407.1-0--0.21::+	12873	distance <= 25	2				12875-13520				0	7	17	115	53	193	229	156	81	851	8		
ORF12	NC_001491.2	+	ORF12	Torma_et_al	Monocistronic	mRNA.TU.6-TSS.513.1-0--50.0::+	13529	distance <= 25	1	***	9	20551.839035505	13528-14971				0	0	2	30	152	1240	1047	2057	2101	6629	7		
ORF12-AT	NC_001491.2	+	ORF12	Torma_et_al	Monocistronic-AT	mRNA.TU.6-TSS.513.1-0--50.0::+	13529	distance <= 25	1	***	9	20551.839035505	13528-16341				0	0	0	0	0	0	0	0	3	3	1		
ORF12-L1	NC_001491.2	+	ORF12	Torma_et_al	Monocistronic-Long	mRNA.TU.5-TSS.357.1-0--0.31::+	12659	distance <= 25	2				12661-14971				0	0	0	0	1	5	7	15	7	35	5		
ORF12-L2	NC_001491.2	+	ORF12	Torma_et_al	Monocistronic-Long	mRNA.TU.5-TSS.407.1-0--0.21::+	12873	distance <= 25	2				12875-14971				0	0	1	0	2	24	16	42	19	104	6		
ORF12-Monocistronic-Long-novTX_193	NC_001491.2	+	ORF12	Tombacz_et_al	Monocistronic-Long	mRNA.TU.7-TSS.512.1-0--0.04::+	13495	distance <= 25	14	***	9		13509-14971				0	0	0	0	1	3	1	2	6	13	5		
ORF12-Monocistronic-Short-novTX_199	NC_001491.2	+	ORF12	Tombacz_et_al	Monocistronic-Short	mRNA.TU.7-TSS.517.1-0--0.12::+	13557	distance <= 25	3	***	8		13560-14971				0	0	0	1	1	4	2	0	3	11	5		
ORF12-ORF11-ORF10-ORF9-CX-Canonic	NC_001491.2	-	ORF9	Torma_et_al	Multicistronic			NA					11064-15699				0	0	0	0	0	7	2	2	1	12	4		
ORF12-ORF11-ORF10-ORF9-CX-Short	NC_001491.2	-	ORF9	Torma_et_al	Multicistronic-Short			NA		*	1	105.163529288	11064-15032				0	0	0	0	1	5	1	10	2	19	5		
ORF12-ORF11-ORF10-ORF9-ORF8-ORF7-ORF6	NC_001491.2	-	ORF12	Torma_et_al	Multicistronic	mRNA.TU.4-TSS.605.3-0--0.2::-	14894	distance <= 50	33	***	5	1660.36248233	6010-14927				0	0	0	0	0	0	0	0	1	1	1		
ORF12-ORF13-ORF14-PC-Canonic	NC_001491.2	+	ORF12	Torma_et_al	Multicistronic	mRNA.TU.6-TSS.513.1-0--50.0::+	13529	distance <= 25	1	***	9	20551.839035505	13528-20385				0	0	0	0	0	2	1	13	12	28	4		
ORF13-Multicistronic-Long-novTX_4	NC_001491.2	+	ORF13	Tombacz_et_al	Multicistronic-Long			NA		***	9		15195-20385				0	1	0	0	0	1	0	1	1	4	4		
ORF13-Multicistronic-Short-novTX_306	NC_001491.2	+	ORF13	Tombacz_et_al	Multicistronic-Short			NA		***	9		15260-20385				0	0	0	0	0	0	0	1	0	1	1		
ORF13-ORF12-ORF11-ORF10-ORF9	NC_001491.2	-		Torma_et_al	Multicistronic			NA					11121-18207																
ORF13-ORF12-ORF11-ORF10-ORF9-ORF8-ORF7-ORF6-ORF5-PC-Canonic	NC_001491.2	-	ORF9	Torma_et_al	Multicistronic			NA		**	4	1135.183644144	4391-19687				0	0	0	0	0	0	0	1	0	1	1		
ORF13-ORF14-PC-Canonic	NC_001491.2	+	ORF13	Torma_et_al	Multicistronic			NA		***	9	49270.838652001	15234-20385				0	0	0	0	23	230	46	420	352	1071	5		
ORF13-ORF14-PC-Long	NC_001491.2	+	ORF13	Torma_et_al	Multicistronic-Long			NA		***	9	55963.691315395	15083-20385				0	14	15	13	180	338	36	221	121	938	8		
ORF14	NC_001491.2	+	ORF14	Torma_et_al	Monocistronic	mRNA.TU.8-TSS.761.1-0--0.04::+	17996	distance <= 25	11	***	9	63752.914516575	17985-20385				0	6	9	29	326	493	97	156	151	1267	8		
ORF14-L1	NC_001491.2	+	ORF14	Torma_et_al	Monocistronic-Long			NA		*	2	322.146358587	15647-20385				0	0	0	0	0	2	1	0	5	8	3		
ORF14-L2	NC_001491.2	+	ORF14	Torma_et_al	Monocistronic-Long			NA					15982-20385				0	0	0	1	0	1	3	1	2	8	5		
ORF14-L3	NC_001491.2	+	ORF14	Torma_et_al	Monocistronic-Long			NA					16505-20385				0	0	0	0	1	3	3	0	5	12	4		
ORF14-L4	NC_001491.2	+	ORF14	Torma_et_al	Monocistronic-Long			NA					16796-20385				0	0	1	3	9	11	17	15	15	71	7		
ORF14-L5	NC_001491.2	+	ORF14	Torma_et_al	Monocistronic-Long			NA		***	8	3600.301543071	17231-20385				0	0	0	0	3	10	0	5	12	30	4		
ORF14-L6	NC_001491.2	+	ORF14	Torma_et_al	Monocistronic-Long			NA					17484-20385				0	0	0	0	2	11	9	27	15	64	5		
ORF14-L7	NC_001491.2	+	ORF14	Torma_et_al	Monocistronic-Long			NA					17716-20385				0	0	3	6	6	29	48	79	10	181	7		
ORF14-Monocistronic-Long-novTX_11	NC_001491.2	+	ORF14	Tombacz_et_al	Monocistronic-Long			NA		***	6		15746-20385				0	0	0	0	1	1	0	0	0	2	2		
ORF14-Monocistronic-Long-novTX_14	NC_001491.2	+	ORF14	Tombacz_et_al	Monocistronic-Long			NA		**	5		15828-20385				0	0	0	0	1	0	1	1	0	3	3		
ORF14-Monocistronic-Long-novTX_19	NC_001491.2	+	ORF14	Tombacz_et_al	Monocistronic-Long			NA		***	3		17503-20385				0	0	0	0	0	1	0	0	1	2	2		
ORF14-Monocistronic-Long-novTX_20	NC_001491.2	+	ORF14	Tombacz_et_al	Monocistronic-Long	mRNA.TU.8-TSS.761.1-0--0.04::+	17996	distance <= 50	29	***	9		17967-20385				0	0	0	3	5	2	5	3	3	21	6		
ORF14-Monocistronic-Long-novTX_244	NC_001491.2	+	ORF14	Tombacz_et_al	Monocistronic-Long			NA		***	3		17518-20385				0	0	0	0	2	3	2	1	0	8	4		
ORF14-Monocistronic-Long-novTX_296	NC_001491.2	+	ORF14	Tombacz_et_al	Monocistronic-Long			NA		***	6		17455-20385				0	0	0	1	2	6	5	11	8	33	6		
ORF14-Monocistronic-Long-novTX_9	NC_001491.2	+	ORF14	Tombacz_et_al	Monocistronic-Long			NA		***	8		15673-20385				0	0	0	0	2	2	0	2	2	8	4		
ORF14-Monocistronic-Short-novTX_22	NC_001491.2	+	ORF14	Tombacz_et_al	Monocistronic-Short	mRNA.TU.8-TSS.762.1-0--0.11::+	17998	distance <= 25	0	***	9		17998-20385				0	0	0	0	1	1	0	0	1	3	3		
ORF14-Monocistronic-Short-novTX_23	NC_001491.2	+	ORF14	Tombacz_et_al	Monocistronic-Short	mRNA.TU.8-TSS.763.1-0--0.04::+	18013	distance <= 25	3	***	9		18016-20385				0	1	0	1	0	2	0	1	1	6	5		
ORF14-ORF13-ORF12-ORF11-ORF10-ORF9-CX-Canonic	NC_001491.2	-	ORF9	Torma_et_al	Multicistronic			NA					11062-20338				0	0	0	0	0	1	0	0	1	2	2		
ORF14-Putative mRNA-novTX_24	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA			NA		**	4		18151-20385				0	0	0	0	2	6	7	8	3	26	5	0.0980210593074671	
ORF14-Putative mRNA-novTX_25	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.777.1-0--0.03::+	18537	distance <= 50	50	**	4		18487-20385				0	0	1	4	2	0	8	3	13	31	6	0.0980210593074671	
ORF14-Putative mRNA-novTX_28	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.846.1-0--0.07::+	19292	distance <= 25	5	***	6		19287-20385				0	0	2	4	3	2	6	3	7	27	7	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_281	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.772.1-0--0.03::+	18396	distance <= 50	26	**	4		18370-20385				0	0	0	1	0	5	11	6	2	25	5	0.0980210593074671	
ORF14-Putative mRNA-novTX_282	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.824.1-0--0.07::+	19146	distance <= 25	6	**	3		19152-20385				0	0	0	1	0	2	1	5	5	14	5	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_283	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.835.1-0--0.04::+	19219	distance <= 25	5	***	6		19224-20385				0	0	1	2	1	7	11	7	8	37	7	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_29	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.851.1-0--0.12::+	19333	distance <= 25	2	**	5		19331-20385				0	0	0	4	5	5	9	6	4	33	6	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_297	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.763.1-0--0.04::+	18013	distance <= 100	80	**	5		18093-20385				0	0	0	0	0	2	1	1	1	5	4	0.0980210593074671	
ORF14-Putative mRNA-novTX_298	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.816.1-0--0.07::+	19093	distance <= 25	2	**	3		19091-20385				0	0	0	3	3	5	8	1	4	24	6	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_31	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.901.1-0--0.21::+	19578	distance <= 25	1	**	5		19579-20385				0	1	0	0	3	8	4	5	9	30	6	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_32	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.916.1-0--0.11::+	19640	distance <= 25	0	***	9		19640-20385				0	0	0	8	7	16	5	6	6	48	6	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_339	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.970.1-0--0.48::+	19904	distance <= 25	3	**	5		19907-20385				0	0	0	2	2	3	0	0	0	7	3	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_34	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.924.1-0--2.39::+	19674	distance <= 25	1	***	9		19675-20385				0	0	0	2	3	0	4	1	9	19	5	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_349	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.933.1-0--0.21::+	19744	distance <= 25	1	***	7		19745-20385				0	0	0	3	1	3	4	3	2	16	6	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_35	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.947.1-0--0.37::+	19795	distance <= 25	0	**	3		19795-20385				0	0	0	4	2	3	4	1	8	22	6	0.0980210593074671	TRUE
ORF14-Putative mRNA-novTX_36	NC_001491.2	+	ORF14	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.967.1-0--2.61::+	19883	distance <= 25	3	**	5		19886-20385				0	0	0	3	4	7	7	0	4	25	5	0.0980210593074671	TRUE
ORF14.5	NC_001491.2	+	ORF14	Torma_et_al	Putative mRNA	mRNA.TU.8-TSS.921.1-0--0.11::+	19660	distance <= 25	1	***	9	77902.069581753	19661-20385				0	1	4	313	602	868	199	112	148	2247	8	0.0980210593074671	
ORF15	NC_001491.2	-	ORF15	Torma_et_al	Monocistronic	mRNA.TU.5-TSS.738.1-0--0.44::-	21211	distance <= 25	2	***	9	21752.110203323	20383-21209				0	0	0	5	52	9518	10936	11065	6237	37813	6		
ORF15-L1	NC_001491.2	-	ORF15	Torma_et_al	Monocistronic-Long	mRNA.TU.5-TSS.946.1-0--0.02::-	22420	distance <= 25	5				20383-22415				0	0	0	0	0	10	25	25	17	77	4		
ORF15-Monocistronic-Long-novTX_379	NC_001491.2	-	ORF15	Tombacz_et_al	Monocistronic-Long	mRNA.TU.5-TSS.965.1-0--0.04::-	22773	distance <= 25	12	***	7		20383-22761				0	0	0	0	0	0	2	2	1	5	3		
ORF15-Monocistronic-Long-novTX_689	NC_001491.2	-	ORF15	Tombacz_et_al	Monocistronic-Long	mRNA.TU.5-TSS.965.1-0--0.04::-	22773	distance <= 25	0	***	7		20383-22773				0	0	0	0	0	0	3	1	2	6	3		
ORF16-ORF15-PC-Canonic	NC_001491.2	-	ORF16	Torma_et_al	Multicistronic	mRNA.TU.5-TSS.979.1-0--0.06::-	22920	distance <= 25	1	**	4	1580.508871167	20383-22919				0	0	0	0	5	1808	885	3043	2188	7929	5		
ORF16-ORF15-PC-Long	NC_001491.2	-	ORF16	Torma_et_al	Multicistronic-Long	mRNA.TU.7-TSS.1041.1-0--6.86::-	23631	distance <= 25	0				20383-23631				0	0	0	0	1	7	1	2	8	19	5		
ORF16-ORF15-PC-Short	NC_001491.2	-	ORF16	Torma_et_al	Multicistronic-Short	mRNA.TU.5-TSS.974.1-0--0.04::-	22897	distance <= 25	4	**	4	1580.508871167	20383-22893				0	0	0	0	2	192	182	626	545	1547	5		
ORF16-ORF17-ORF18-ORF19-CX-Canonic	NC_001491.2	+	ORF19	Torma_et_al	Multicistronic			NA					21328-27784				0	0	0	0	0	9	0	14	15	38	3		
ORF17	NC_001491.2	-	ORF17	Torma_et_al	Monocistronic	mRNA.TU.8-TSS.1084.1-0--0.82::-	24270	distance <= 25	6	***	9	26474.116063206	23010-24276				0	13	5	9	19	52	15	9	5	127	8		
ORF17-AT	NC_001491.2	-	ORF17	Torma_et_al	Monocistronic-AT	mRNA.TU.8-TSS.1084.1-0--0.82::-	24270	distance <= 25	6	***	9	26474.116063206	22942-24276				0	0	0	1	2	2	1	2	2	10	6		
ORF17-ORF16-ORF15-PC-Canonic	NC_001491.2	-	ORF17	Torma_et_al	Multicistronic	mRNA.TU.8-TSS.1084.1-0--0.82::-	24270	distance <= 25	6	***	9	26474.116063206	20383-24276				0	1	0	0	0	7	0	2	1	11	4		
ORF17-ORF18-ORF19-CX-Canonic	NC_001491.2	+	ORF19	Torma_et_al	Multicistronic			NA					21474-27784				0	0	0	0	0	3	1	5	4	13	4		
ORF17-ORF18-ORF19-CX-Short	NC_001491.2	+	ORF19	Torma_et_al	Multicistronic-Short			NA					21493-27784				0	0	0	0	0	6	0	7	2	15	3		
ORF17-ORF18-ORF19-CX-Short-2	NC_001491.2	+	ORF19	Torma_et_al	Multicistronic-Short			NA		***	6	2188.578868196	22580-27784				0	0	0	0	0	7	0	8	2	17	3		
ORF17-ORF18-ORF19-ORF20	NC_001491.2	-	ORF17	Torma_et_al	Multicistronic	mRNA.TU.12-TSS.1583.1-0--0.05::-	29390	distance <= 100	85				23010-29475				0	0	0	0	0	0	0	0	1	1	1		
ORF18	NC_001491.2	-	ORF18	Torma_et_al	Monocistronic	mRNA.TU.10-TSS.1332.1-0--0.05::-	25773	distance <= 25	4				24413-25769				0	48	71	234	1325	1996	215	190	263	4342	8		
ORF18-L1	NC_001491.2	-	ORF18	Torma_et_al	Monocistronic-Long			NA					24413-26807				0	0	0	0	0	0	3	4	3	10	3		
ORF18-L2	NC_001491.2	-	ORF18	Torma_et_al	Monocistronic-Long			NA					24413-27011				0	0	0	0	1	0	1	3	4	9	4		
ORF18-L3	NC_001491.2	-	ORF18	Torma_et_al	Monocistronic-Long			NA					24413-27731				0	0	0	0	1	2	0	4	2	9	4		
ORF18-ORF17-ORF16-ORF15-PC-Canonic	NC_001491.2	-	ORF18	Torma_et_al	Multicistronic	mRNA.TU.10-TSS.1332.1-0--0.05::-	25773	distance <= 25	4				20383-25769				0	0	0	0	4	5	0	2	1	12	4		
ORF18-ORF17-PC-Canonic	NC_001491.2	-	ORF18	Torma_et_al	Multicistronic	mRNA.TU.10-TSS.1332.1-0--0.05::-	25773	distance <= 25	4				23010-25769				0	4	2	0	10	21	0	2	8	47	6		
ORF18-ORF19-CX-Canonic	NC_001491.2	+	ORF19	Torma_et_al	Multicistronic			NA					23099-27784				0	0	0	0	0	9	5	53	51	118	4		
ORF18-ORF19-CX-Long	NC_001491.2	+	ORF19	Torma_et_al	Multicistronic-Long			NA		*	2	309.564999042	23079-27784				0	0	0	0	0	7	1	21	26	55	4		
ORF18-ORF19-CX-Short	NC_001491.2	+	ORF19	Torma_et_al	Multicistronic-Short			NA					23686-27784				0	0	0	0	0	1	1	8	4	14	4		
ORF18-ORF19-CX-Short-2	NC_001491.2	+	ORF19	Torma_et_al	Multicistronic-Short			NA					23857-27784				0	0	0	0	0	9	0	2	3	14	3		
ORF18-Putative mRNA-novTX_384	NC_001491.2	-	ORF18	Tombacz_et_al	Putative mRNA	mRNA.TU.10-TSS.1316.1-0--0.09::-	25676	distance <= 25	10	***	6		24413-25666				0	0	0	0	1	0	1	0	0	2	2	0.00328443686906665	
ORF18-Putative mRNA-novTX_732	NC_001491.2	-	ORF18	Tombacz_et_al	Putative mRNA	mRNA.TU.10-TSS.1181.1-0--2.03::-	25078	distance <= 25	1	**	4		24413-25077				0	0	0	4	1	0	5	0	1	11	4	0.00328443686906665	
ORF18-Putative mRNA-novTX_746	NC_001491.2	-	ORF18	Tombacz_et_al	Putative mRNA	mRNA.TU.10-TSS.1317.1-0--0.11::-	25679	distance <= 25	0	***	6		24413-25679				0	0	0	0	0	0	0	0	1	1	1	0.00328443686906665	
ORF18.5	NC_001491.2	-	ORF18	Torma_et_al	Putative mRNA	mRNA.TU.10-TSS.1092.1-0--0.17::-	24630	distance <= 25	0				24413-24630				0	1	10	145	56	95	79	22	44	452	8		
ORF19	NC_001491.2	+	ORF19	Torma_et_al	Monocistronic			NA					26161-27784				0	0	6	35	80	121	21	23	31	317	7		
ORF19-L1	NC_001491.2	+	ORF19	Torma_et_al	Monocistronic-Long			NA		*	2	867.940035772	24861-27784				0	0	0	1	2	11	10	15	14	53	6		
ORF19-L2	NC_001491.2	+	ORF19	Torma_et_al	Monocistronic-Long			NA					25481-27784				0	0	0	0	0	25	18	36	58	137	4		
ORF19-Putative mRNA-novTX_40	NC_001491.2	+	ORF19	Tombacz_et_al	Putative mRNA	mRNA.TU.9-TSS.1053.1-0--0.34::+	26568	distance <= 25	2	**	5		26566-27784				0	0	0	0	1	0	4	1	3	9	4	0.202068965517241	TRUE
ORF19-Putative mRNA-novTX_42	NC_001491.2	+	ORF19	Tombacz_et_al	Putative mRNA	mRNA.TU.9-TSS.1123.1-0--1.38::+	27267	distance <= 25	9	***	8		27258-27784				0	0	0	0	0	1	0	0	2	3	2	0.202068965517241	
ORF2	NC_001491.2	-	ORF2	Torma_et_al	Monocistronic	mRNA.TU.1-TSS.99.1-0--7.64::-	2659	distance <= 25	13	***	9	57730.841172299	1918-2672				0	0	2	65	323	698	129	79	235	1531	7		
ORF2-Putative mRNA-novTX_355	NC_001491.2	-	ORF2	Tombacz_et_al	Putative mRNA	mRNA.TU.1-TSS.51.1-0--0.84::-	2415	distance <= 25	2	***	7		1918-2417				0	0	0	1	2	4	1	0	3	11	5	0.0292671162032064	
ORF2-Putative mRNA-novTX_356	NC_001491.2	-	ORF2	Tombacz_et_al	Putative mRNA	mRNA.TU.1-TSS.67.1-0--1.56::-	2496	distance <= 25	2	***	9		1918-2498				0	0	0	1	8	5	4	1	2	21	6	0.0292671162032064	
ORF2-Putative mRNA-novTX_717	NC_001491.2	-	ORF2	Tombacz_et_al	Putative mRNA	mRNA.TU.1-TSS.37.1-0--0.3::-	2359	distance <= 25	5	**	4		1918-2354				0	0	0	1	2	1	1	1	2	8	6	0.0292671162032064	
