seqnames	strand	transcript_id	source	TX_category	NAGATA.transcript_id	NAGATA.prime5.TR	NAGATA.support	NAGATE.distance	CAGE_significance	CAGE_support	CAGE_score	EX_1	EX_2	EX_3	EX_4	gene	1h	2h	4h	6h	8h	12h	18h	24h	48h	sum_dcDNA_read_count	presence
NC_001491.2	+	ORF11	Torma_et_al		mRNA.TU.4-TSS.8.1-0--1.56	12454	distance <= 25	14				12468-13520				ORF11	0	4	6	143	448	803	239	215	306	2164	8
NC_001491.2	+	ORF11-ORF12-PC-Canonic	Torma_et_al				NA					12156-14971				ORF11	0	0	0	0	0	2	2	3	3	10	4
NC_001491.2	+	ORF11-ORF12-PC-Short	Torma_et_al		mRNA.TU.4-TSS.8.1-0--1.56	12454	distance <= 25	14				12468-14971				ORF11	0	0	0	0	15	35	4	9	25	88	5
NC_001491.2	+	ORF11.5	Torma_et_al	Putative mRNA	mRNA.TU.4-TSS.13.1-0--7.42	12903	distance <= 50	28				12875-13520				ORF11	0	7	13	84	41	144	169	128	52	638	8
NC_001491.2	+	ORF12	Torma_et_al		mRNA.TU.5-TSS.19.1-0--18.88	13540	distance <= 25	12	***	9	20551.839035505	13528-14971				ORF12	0	0	2	27	150	1214	1014	2010	2055	6472	7
NC_001491.2	+	ORF12-AT	Torma_et_al		mRNA.TU.5-TSS.19.1-0--18.88	13540	distance <= 25	12	***	9	20551.839035505	13528-16341				ORF12	0	0	0	0	0	0	0	0	3	3	1
NC_001491.2	+	ORF12-L1	Torma_et_al		mRNA.TU.4-TSS.11.1-0--2.54	12627	distance <= 50	34				12661-14971				ORF12	0	0	0	0	1	5	5	14	5	30	5
NC_001491.2	+	ORF12-L2	Torma_et_al		mRNA.TU.4-TSS.13.1-0--7.42	12903	distance <= 50	28				12875-14971				ORF12	0	0	1	0	1	23	13	33	10	81	6
NC_001491.2	+	ORF12-Monocistronic-Long-novTX_193	Tombacz_et_al	Monocistronic-Long	mRNA.TU.5-TSS.19.1-0--18.88	13540	distance <= 50	31	***	9		13509-14971															
NC_001491.2	+	ORF12-Monocistronic-Short-novTX_199	Tombacz_et_al	Monocistronic-Short	mRNA.TU.5-TSS.19.1-0--18.88	13540	distance <= 25	20	***	8		13560-14971				ORF12	0	0	0	0	0	2	0	0	2	4	2
NC_001491.2	+	ORF12-ORF13-ORF14-PC-Canonic	Torma_et_al		mRNA.TU.5-TSS.19.1-0--18.88	13540	distance <= 25	12	***	9	20551.839035505	13528-20385				ORF12	0	0	0	0	0	2	1	13	11	27	4
NC_001491.2	+	ORF13-Multicistronic-Long-novTX_4	Tombacz_et_al	Multicistronic-Long			NA		***	9		15195-20385				ORF13	0	1	0	0	0	1	0	0	0	2	2
NC_001491.2	+	ORF13-Multicistronic-Short-novTX_306	Tombacz_et_al	Multicistronic-Short			NA		***	9		15260-20385				ORF13	0	0	0	0	0	0	0	1	0	1	1
NC_001491.2	+	ORF13-ORF14-PC-Canonic	Torma_et_al				NA		***	9	49270.838652001	15234-20385				ORF13	0	0	0	0	21	220	42	393	329	1005	5
NC_001491.2	+	ORF13-ORF14-PC-Long	Torma_et_al				NA		***	9	55963.691315395	15083-20385				ORF13	0	12	14	13	150	287	28	186	111	801	8
NC_001491.2	+	ORF14	Torma_et_al				NA		***	9	63752.914516575	17985-20385				ORF14	0	4	4	20	197	320	54	81	84	764	8
NC_001491.2	+	ORF14-L1	Torma_et_al				NA		*	2	322.146358587	15647-20385				ORF14	0	0	0	0	0	2	1	0	5	8	3
NC_001491.2	+	ORF14-L2	Torma_et_al				NA					15982-20385				ORF14	0	0	0	1	0	0	2	0	2	5	3
NC_001491.2	+	ORF14-L3	Torma_et_al				NA					16505-20385				ORF14	0	0	0	0	0	2	2	0	2	6	3
NC_001491.2	+	ORF14-L4	Torma_et_al				NA					16796-20385				ORF14	0	0	1	3	7	10	10	12	10	53	7
NC_001491.2	+	ORF14-L5	Torma_et_al				NA		***	8	3600.301543071	17231-20385				ORF14	0	0	0	0	1	9	0	4	8	22	4
NC_001491.2	+	ORF14-L6	Torma_et_al				NA					17484-20385				ORF14	0	0	0	0	1	10	9	23	11	54	5
NC_001491.2	+	ORF14-L7	Torma_et_al				NA					17716-20385				ORF14	0	0	1	6	5	19	33	60	6	130	7
NC_001491.2	+	ORF14-Monocistronic-Long-novTX_11	Tombacz_et_al	Monocistronic-Long			NA		***	6		15746-20385				ORF14	0	0	0	0	0	1	0	0	0	1	1
NC_001491.2	+	ORF14-Monocistronic-Long-novTX_14	Tombacz_et_al	Monocistronic-Long			NA		**	5		15828-20385				ORF14	0	0	0	0	1	0	0	1	0	2	2
NC_001491.2	+	ORF14-Monocistronic-Long-novTX_19	Tombacz_et_al	Monocistronic-Long			NA		***	3		17503-20385				ORF14	0	0	0	0	0	1	0	0	1	2	2
NC_001491.2	+	ORF14-Monocistronic-Long-novTX_20	Tombacz_et_al	Monocistronic-Long			NA		***	9		17967-20385				ORF14	0	0	0	0	0	1	0	0	0	1	1
NC_001491.2	+	ORF14-Monocistronic-Long-novTX_244	Tombacz_et_al	Monocistronic-Long			NA		***	3		17518-20385				ORF14	0	0	0	0	0	0	2	0	0	2	1
NC_001491.2	+	ORF14-Monocistronic-Long-novTX_296	Tombacz_et_al	Monocistronic-Long			NA		***	6		17455-20385				ORF14	0	0	0	0	1	0	0	2	2	5	3
NC_001491.2	+	ORF14-Monocistronic-Long-novTX_9	Tombacz_et_al	Monocistronic-Long			NA		***	8		15673-20385															
NC_001491.2	+	ORF14-Monocistronic-Short-novTX_22	Tombacz_et_al	Monocistronic-Short			NA		***	9		17998-20385				ORF14	0	0	0	0	1	0	0	0	1	2	2
NC_001491.2	+	ORF14-Monocistronic-Short-novTX_23	Tombacz_et_al	Monocistronic-Short			NA		***	9		18016-20385				ORF14	0	1	0	0	0	1	0	0	1	3	3
NC_001491.2	+	ORF14-Putative mRNA-novTX_24	Tombacz_et_al	Putative mRNA			NA		**	4		18151-20385				ORF14	0	0	0	0	0	1	1	1	1	4	4
NC_001491.2	+	ORF14-Putative mRNA-novTX_25	Tombacz_et_al	Putative mRNA			NA		**	4		18487-20385															
NC_001491.2	+	ORF14-Putative mRNA-novTX_28	Tombacz_et_al	Putative mRNA			NA		***	6		19287-20385				ORF14	0	0	0	0	0	0	1	0	0	1	1
NC_001491.2	+	ORF14-Putative mRNA-novTX_281	Tombacz_et_al	Putative mRNA			NA		**	4		18370-20385				ORF14	0	0	0	1	0	1	3	5	0	10	4
NC_001491.2	+	ORF14-Putative mRNA-novTX_282	Tombacz_et_al	Putative mRNA			NA		**	3		19152-20385				ORF14	0	0	0	1	0	0	0	3	1	5	3
NC_001491.2	+	ORF14-Putative mRNA-novTX_283	Tombacz_et_al	Putative mRNA			NA		***	6		19224-20385				ORF14	0	0	0	0	0	4	3	3	1	11	4
NC_001491.2	+	ORF14-Putative mRNA-novTX_29	Tombacz_et_al	Putative mRNA			NA		**	5		19331-20385				ORF14	0	0	0	3	0	0	0	1	0	4	2
NC_001491.2	+	ORF14-Putative mRNA-novTX_297	Tombacz_et_al	Putative mRNA			NA		**	5		18093-20385				ORF14	0	0	0	0	0	1	0	0	0	1	1
NC_001491.2	+	ORF14-Putative mRNA-novTX_298	Tombacz_et_al	Putative mRNA			NA		**	3		19091-20385															
NC_001491.2	+	ORF14-Putative mRNA-novTX_31	Tombacz_et_al	Putative mRNA	mRNA.TU.6-TSS.32.1-0--4.63	19604	distance <= 25	25	**	5		19579-20385				ORF14	0	1	0	0	0	3	1	1	2	8	5
NC_001491.2	+	ORF14-Putative mRNA-novTX_32	Tombacz_et_al	Putative mRNA	mRNA.TU.6-TSS.33.1-0--26.7	19674	distance <= 50	34	***	9		19640-20385				ORF14	0	0	0	0	1	0	0	0	0	1	1
NC_001491.2	+	ORF14-Putative mRNA-novTX_339	Tombacz_et_al	Putative mRNA	mRNA.TU.6-TSS.34.1-0--26.43	19928	distance <= 25	21	**	5		19907-20385				ORF14	0	0	0	0	0	1	0	0	0	1	1
NC_001491.2	+	ORF14-Putative mRNA-novTX_34	Tombacz_et_al	Putative mRNA	mRNA.TU.6-TSS.33.1-0--26.7	19674	distance <= 25	1	***	9		19675-20385				ORF14	0	0	0	1	0	0	1	0	2	4	3
NC_001491.2	+	ORF14-Putative mRNA-novTX_349	Tombacz_et_al	Putative mRNA	mRNA.TU.6-TSS.33.1-0--26.7	19674	distance <= 100	71	***	7		19745-20385				ORF14	0	0	0	2	1	2	1	3	2	11	6
NC_001491.2	+	ORF14-Putative mRNA-novTX_35	Tombacz_et_al	Putative mRNA			NA		**	3		19795-20385				ORF14	0	0	0	0	0	0	2	1	3	6	3
NC_001491.2	+	ORF14-Putative mRNA-novTX_36	Tombacz_et_al	Putative mRNA	mRNA.TU.6-TSS.34.1-0--26.43	19928	distance <= 50	42	**	5		19886-20385				ORF14	0	0	0	1	1	0	0	0	0	2	2
NC_001491.2	+	ORF14.5	Torma_et_al	Putative mRNA	mRNA.TU.6-TSS.33.1-0--26.7	19674	distance <= 25	13	***	9	77902.069581753	19661-20385				ORF14	0	0	3	294	560	814	163	98	117	2049	7
NC_001491.2	+	ORF16-ORF17-ORF18-ORF19-CX-Canonic	Torma_et_al				NA					21328-27784				ORF19	0	0	0	0	0	5	0	3	6	14	3
NC_001491.2	+	ORF17-ORF18-ORF19-CX-Canonic	Torma_et_al				NA					21474-27784				ORF19	0	0	0	0	0	2	1	5	3	11	4
NC_001491.2	+	ORF17-ORF18-ORF19-CX-Short	Torma_et_al				NA					21493-27784				ORF19	0	0	0	0	0	1	0	2	1	4	3
NC_001491.2	+	ORF17-ORF18-ORF19-CX-Short-2	Torma_et_al				NA		***	6	2188.578868196	22580-27784				ORF19	0	0	0	0	0	6	0	8	2	16	3
NC_001491.2	+	ORF18-ORF19-CX-Canonic	Torma_et_al				NA					23099-27784				ORF19	0	0	0	0	0	5	4	35	28	72	4
NC_001491.2	+	ORF18-ORF19-CX-Long	Torma_et_al				NA		*	2	309.564999042	23079-27784				ORF19	0	0	0	0	0	5	1	20	22	48	4
NC_001491.2	+	ORF18-ORF19-CX-Short	Torma_et_al				NA					23686-27784				ORF19	0	0	0	0	0	1	1	7	3	12	4
NC_001491.2	+	ORF18-ORF19-CX-Short-2	Torma_et_al				NA					23857-27784				ORF19	0	0	0	0	0	7	0	2	0	9	2
NC_001491.2	+	ORF19	Torma_et_al				NA					26161-27784				ORF19	0	0	4	22	49	69	10	11	17	182	7
NC_001491.2	+	ORF19-L1	Torma_et_al				NA		*	2	867.940035772	24861-27784				ORF19	0	0	0	1	1	10	9	11	14	46	6
NC_001491.2	+	ORF19-L2	Torma_et_al				NA					25481-27784				ORF19	0	0	0	0	0	20	17	32	56	125	4
NC_001491.2	+	ORF19-Putative mRNA-novTX_40	Tombacz_et_al	Putative mRNA			NA		**	5		26566-27784				ORF19	0	0	0	0	1	0	0	0	0	1	1
NC_001491.2	+	ORF19-Putative mRNA-novTX_42	Tombacz_et_al	Putative mRNA	mRNA.TU.7-TSS.39.1-0--50.0	27216	distance <= 50	42	***	8		27258-27784				ORF19	0	0	0	0	0	1	0	0	0	1	1
NC_001491.2	+	ORF21-ORF22-ORF23-CX-Canonic	Torma_et_al				NA		**	4	954.169666579	28668-36380				ORF23	0	0	0	0	0	5	1	2	1	9	4
NC_001491.2	+	ORF21-ORF22-ORF23-CX-Long	Torma_et_al				NA					28131-36380				ORF23	0	0	0	0	1	3	0	0	0	4	2
NC_001491.2	+	ORF23	Torma_et_al				NA		***	8	11862.110589904	33237-36380				ORF23	0	3	0	7	89	183	30	115	99	526	7
NC_001491.2	+	ORF23-L1	Torma_et_al				NA					32802-36380				ORF23	0	0	0	0	0	1	0	0	1	2	2
NC_001491.2	+	ORF23-Monocistronic-Long-novTX_299	Tombacz_et_al	Monocistronic-Long			NA		***	8		33224-36380															
NC_001491.2	+	ORF23-Putative mRNA-novTX_324	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.40.1-0--7.35	35459	distance <= 25	8	**	5		35467-36380				ORF23	0	0	0	0	0	1	0	0	0	1	1
NC_001491.2	+	ORF23-Putative mRNA-novTX_329	Tombacz_et_al	Putative mRNA			NA		**	3		35191-36380				ORF23	0	0	0	0	1	0	0	0	0	1	1
NC_001491.2	+	ORF23-Putative mRNA-novTX_344	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.41.1-0--69.12	35829	distance <= 100	68	***	3		35897-36380				ORF23	0	0	0	1	0	0	0	0	0	1	1
NC_001491.2	+	ORF23-Putative mRNA-novTX_52	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.41.1-0--69.12	35829	distance <= 100	74	**	5		35755-36380				ORF23	0	0	0	1	0	0	0	1	2	4	3
NC_001491.2	+	ORF23-Putative mRNA-novTX_53	Tombacz_et_al	Putative mRNA	mRNA.TU.8-TSS.42.1-0--13.24	36016	distance <= 100	64	**	4		36080-36380				ORF23	0	0	0	0	0	0	1	0	0	1	1
NC_001491.2	+	ORF23.5	Torma_et_al	Putative mRNA	mRNA.TU.8-TSS.41.1-0--69.12	35829	distance <= 25	15	***	9	18095.726569057	35814-36380				ORF23	0	0	1	86	125	303	141	112	135	903	7
NC_001491.2	+	ORF24	Torma_et_al				NA		***	9	18947.390946037	36497-46890				ORF24	0	0	0	0	1	5	0	0	1	7	3
NC_001491.2	+	ORF24-Putative mRNA-novTX_285	Tombacz_et_al	Putative mRNA			NA		***	6		45786-46890				ORF24	0	0	0	0	1	0	1	0	0	2	2
NC_001491.2	+	ORF24-Putative mRNA-novTX_56	Tombacz_et_al	Putative mRNA	mRNA.TU.9-TSS.44.1-0--18.75	45887	distance <= 50	48	***	3		45839-46890				ORF24	0	0	0	0	0	2	0	0	0	2	1
NC_001491.2	+	ORF24.5	Torma_et_al	Putative mRNA			NA					45197-46890				ORF24	0	0	0	2	1	4	9	7	10	33	6
NC_001491.2	+	ORF24.6	Torma_et_al	Putative mRNA			NA		***	8	10025.662746044	45483-46890				ORF24	0	0	1	22	71	137	37	49	43	360	7
NC_001491.2	+	ORF24.7	Torma_et_al	Putative mRNA	mRNA.TU.9-TSS.44.1-0--18.75	45887	distance <= 100	87	***	6	1854.987590409	45800-46890				ORF24	0	0	0	3	11	31	5	2	9	61	6
NC_001491.2	+	ORF24.8	Torma_et_al	Putative mRNA	mRNA.TU.9-TSS.45.1-0--21.88	45973	distance <= 100	93	**	4	1651.013070769	46066-46890				ORF24	0	0	0	6	9	17	8	11	8	59	6
NC_001491.2	+	ORF25-ORF26-ORF27-ORF28-ORF29-CX	Torma_et_al				NA		**	3	458.333536681	47036-51686				ORF28	0	0	0	0	1	3	0	0	0	4	2
NC_001491.2	+	ORF27-ORF28-ORF29-ORF30-ORF3-CX-Canonic1	Torma_et_al				NA					48073-59182				ORF27	0	0	0	0	0	0	0	1	0	1	1
NC_001491.2	+	ORF28-Multicistronic-Short-novTX_57	Tombacz_et_al	Multicistronic-Short			NA		***	6		48532-51693				ORF28	0	0	0	0	0	1	0	0	1	2	2
NC_001491.2	+	ORF28-ORF29-PC-Canonic	Torma_et_al				NA		***	8	8237.944903407	48421-51693				ORF28	0	0	2	2	26	63	3	13	6	115	7
NC_001491.2	+	ORF28-ORF29-PC-Short	Torma_et_al				NA		***	6	2831.970866237	48558-51693				ORF28	0	0	0	0	3	9	0	2	1	15	4
NC_001491.2	+	ORF29	Torma_et_al		mRNA.TU.10-TSS.48.1-0--74.07	50585	distance <= 25	12	***	9	109215.339810069	50573-51693				ORF29	0	4	22	492	1250	2080	559	629	334	5370	8
NC_001491.2	+	ORF29-ORF30-ORF31-CX-Canonic	Torma_et_al		mRNA.TU.10-TSS.48.1-0--74.07	50585	distance <= 25	12	***	9	109215.339810069	50573-59182				ORF29	0	0	0	0	0	0	0	5	3	8	2
NC_001491.2	+	ORF29-Putative mRNA-novTX_61	Tombacz_et_al	Putative mRNA			NA		**	4		50748-51693				ORF29	0	0	0	0	1	0	0	0	0	1	1
NC_001491.2	+	ORF29-Putative mRNA-novTX_63	Tombacz_et_al	Putative mRNA	mRNA.TU.10-TSS.49.1-0--25.93	51198	distance <= 50	50	***	6		51148-51693				ORF29	0	0	0	0	0	0	1	1	0	2	2
NC_001491.2	+	ORF3	Torma_et_al		mRNA.TU.2-TSS.3.1-0--86.11	2682	distance <= 25	13	***	9	46784.823665342	2669-3632				ORF3	0	1	18	172	385	669	196	135	116	1692	8
NC_001491.2	+	ORF3-Monocistronic-Long-novTX_37	Tombacz_et_al	Monocistronic-Long	mRNA.TU.2-TSS.3.1-0--86.11	2682	distance <= 50	32	***	9		2650-3632				ORF3	0	0	0	0	1	0	0	0	0	1	1
NC_001491.2	+	ORF3-Monocistronic-Short-novTX_39	Tombacz_et_al	Monocistronic-Short	mRNA.TU.2-TSS.3.1-0--86.11	2682	distance <= 25	20	***	9		2702-3632				ORF3	0	0	0	0	0	0	0	0	1	1	1
NC_001491.2	+	ORF3-ORF4-ORF5-ORF6-ORF7-ORF8-ORF9-ORF10-ORF11-CX-Canonic	Torma_et_al		mRNA.TU.2-TSS.3.1-0--86.11	2682	distance <= 25	13	***	9	46784.823665342	2669-13520				ORF3	0	0	0	0	1	0	0	0	0	1	1
NC_001491.2	+	ORF3-Putative mRNA-novTX_45	Tombacz_et_al	Putative mRNA			NA		**	4		3043-3632				ORF3	0	0	0	1	1	0	0	0	1	3	3
NC_001491.2	+	ORF31	Torma_et_al				NA		***	9	296182.372347441	55322-59182				ORF31	0	288	469	239	1032	1953	137	355	247	4720	8
NC_001491.2	+	ORF31-L1	Torma_et_al				NA		***	6	1621.576271431	55046-59182				ORF31	0	0	0	0	2	15	5	11	7	40	5
NC_001491.2	+	ORF31-Monocistronic-Long-novTX_66	Tombacz_et_al	Monocistronic-Long			NA		***	7		55255-59182				ORF31	0	0	0	1	0	0	0	0	1	2	2
NC_001491.2	+	ORF31-Monocistronic-Short-novTX_68	Tombacz_et_al	Monocistronic-Short			NA		***	9		55342-59182															
NC_001491.2	+	ORF31-ORF32-ORF33-ORF34-PC-Canonic	Torma_et_al				NA					52456-65086				ORF31	0	0	0	0	0	0	0	1	0	1	1
NC_001491.2	+	ORF31-Putative mRNA-novTX_247	Tombacz_et_al	Putative mRNA			NA		**	4		56316-59182				ORF31	0	0	1	1	2	4	1	1	0	10	6
NC_001491.2	+	ORF31-Putative mRNA-novTX_73	Tombacz_et_al	Putative mRNA			NA		**	4		56326-59182				ORF31	0	0	0	1	0	0	0	0	0	1	1
NC_001491.2	+	ORF31-Putative mRNA-novTX_76	Tombacz_et_al	Putative mRNA			NA		**	4		56757-59182				ORF31	0	0	0	0	0	1	0	0	0	1	1
NC_001491.2	+	ORF31-Putative mRNA-novTX_78	Tombacz_et_al	Putative mRNA			NA		**	4		58023-59182															
NC_001491.2	+	ORF31-Putative mRNA-novTX_79	Tombacz_et_al	Putative mRNA	mRNA.TU.11-TSS.53.1-0--18.09	58486	distance <= 25	1	**	5		58487-59182				ORF31	0	0	0	0	1	0	0	0	0	1	1
NC_001491.2	+	ORF31-Putative mRNA-novTX_81	Tombacz_et_al	Putative mRNA	mRNA.TU.11-TSS.55.1-0--12.77	58616	distance <= 25	19	**	3		58635-59182															
NC_001491.2	+	ORF32-ORF33-ORF34-PC-Canonic	Torma_et_al				NA		***	9	19717.570999825	59209-65093				ORF32	0	0	0	0	5	11	0	2	1	19	4
NC_001491.2	+	ORF32-ORF33-PC-Canonic	Torma_et_al				NA		***	9	19717.570999825	59209-64402				ORF32	0	0	0	0	7	3	0	0	0	10	2
NC_001491.2	+	ORF33	Torma_et_al				NA		***	9	175245.507895459	61312-64402				ORF33	0	1	9	11	108	288	51	173	119	760	8
NC_001491.2	+	ORF33-L1	Torma_et_al				NA					59993-64402				ORF33	0	0	0	0	2	8	0	0	2	12	3
NC_001491.2	+	ORF33-L2	Torma_et_al				NA		***	5	1715.138827069	60473-64402				ORF33	0	0	0	0	1	4	0	0	1	6	3
NC_001491.2	+	ORF33-ORF34-ORF35-CX-Canonic	Torma_et_al				NA		***	9	175245.507895459	61312-67178				ORF33	0	0	0	0	1	0	0	0	0	1	1
NC_001491.2	+	ORF33-ORF34-PC-Canonic	Torma_et_al				NA		***	9	175245.507895459	61312-65093				ORF33	0	0	0	2	138	646	96	488	371	1741	6
NC_001491.2	+	ORF33-ORF34-PC-Long	Torma_et_al				NA		***	5	3064.399227314	61255-65093				ORF33	0	0	0	0	2	12	2	6	4	26	5
NC_001491.2	+	ORF33-ORF34-PC-Long-1	Torma_et_al				NA					59993-65093				ORF33	0	0	0	0	5	14	3	12	7	41	5
NC_001491.2	+	ORF33-ORF34-PC-Long-2	Torma_et_al				NA		***	5	1715.138827069	60473-65093				ORF33	0	0	0	1	3	12	1	3	3	23	6
NC_001491.2	+	ORF34	Torma_et_al		mRNA.TU.13-TSS.60.1-0--71.01	64500	distance <= 25	12	***	9	678167.34293243	64488-65093				ORF34	0	457	435	1822	3888	6855	2324	1524	1879	19184	8
NC_001491.2	+	ORF34-L1	Torma_et_al				NA					61608-65093				ORF34	0	0	0	0	0	4	3	2	2	11	4
NC_001491.2	+	ORF34-Monocistronic-Long-novTX_250	Tombacz_et_al	Monocistronic-Long			NA		**	3		63531-65093				ORF34	0	0	0	0	0	0	1	0	0	1	1
NC_001491.2	+	ORF34-Monocistronic-Long-novTX_85	Tombacz_et_al	Monocistronic-Long			NA		***	6		62857-65093															
NC_001491.2	+	ORF34-Monocistronic-Short-novTX_352	Tombacz_et_al	Monocistronic-Short	mRNA.TU.13-TSS.60.1-0--71.01	64500	distance <= 25	0	***	9		64500-65093				ORF34	0	0	0	1	0	1	0	2	0	4	3
NC_001491.2	+	ORF34-ORF35.5-ORF35-CX-Canonic	Torma_et_al		mRNA.TU.13-TSS.60.1-0--71.01	64500	distance <= 25	12	***	9	678167.34293243	64488-67175				ORF34	0	0	0	1	4	5	0	0	0	10	3
NC_001491.2	+	ORF34-ORF35.5-ORF35-ORF36-ORF37-ORF38-CX-Canonic	Torma_et_al		mRNA.TU.13-TSS.60.1-0--71.01	64500	distance <= 25	12	***	9	678167.34293243	64488-71034				ORF34	0	0	0	0	4	1	0	0	1	6	3
NC_001491.2	+	ORF34-Putative mRNA-novTX_309	Tombacz_et_al	Putative mRNA	mRNA.TU.13-TSS.62.1-0--4.5	64634	distance <= 25	5	***	9		64629-65093				ORF34	0	0	0	2	1	0	1	0	0	4	3
NC_001491.2	+	ORF34-Putative mRNA-novTX_341	Tombacz_et_al	Putative mRNA	mRNA.TU.13-TSS.61.1-0--4.62	64590	distance <= 25	10	**	4		64580-65093				ORF34	0	0	0	0	0	0	1	0	0	1	1
NC_001491.2	+	ORF34-Putative mRNA-novTX_345	Tombacz_et_al	Putative mRNA	mRNA.TU.13-TSS.63.1-0--10.18	64703	distance <= 50	37	***	6		64740-65093				ORF34	0	0	0	0	0	0	1	0	0	1	1
NC_001491.2	+	ORF35.5-ORF35-ORF36-ORF37-ORF38-CX-Canonic	Torma_et_al		mRNA.TU.13-TSS.63.1-0--10.18	64703	distance <= 25	17	***	9	64267.893626209	64686-71034				ORF38	0	0	0	0	1	6	0	3	0	10	3
NC_001491.2	+	ORF36-ORF37-ORF38-CX-Canonic	Torma_et_al				NA		**	3	1030.020114857	66315-71034				ORF38	0	0	0	1	6	6	0	1	2	16	5
NC_001491.2	+	ORF36-ORF37-ORF38-CX-Short	Torma_et_al				NA					66600-71034				ORF38	0	0	0	0	0	1	0	4	4	9	3
NC_001491.2	+	ORF36-ORF37-ORF38-CX-Short-2	Torma_et_al				NA					66701-71034				ORF38	0	0	0	0	0	4	2	3	3	12	4
NC_001491.2	+	ORF37-ORF38-CX-Canonic	Torma_et_al				NA		***	6	1552.07836209	69019-71034				ORF38	0	0	0	0	4	16	8	20	22	70	5
NC_001491.2	+	ORF37-ORF38-CX-Long	Torma_et_al				NA					68916-71034				ORF38	0	0	0	0	0	16	0	3	7	26	3
NC_001491.2	+	ORF37-ORF38-CX-Long-1	Torma_et_al				NA					67656-71034				ORF38	0	0	0	0	5	12	1	4	6	28	5
NC_001491.2	+	ORF37-ORF38-CX-Long-2	Torma_et_al				NA					68373-71034				ORF38	0	0	0	0	1	16	7	23	15	62	5
NC_001491.2	+	ORF38	Torma_et_al		mRNA.TU.14-TSS.67.1-0--38.46	69795	distance <= 25	13	***	9	47409.336119868	69782-71034				ORF38	0	15	32	60	257	363	59	32	44	862	8
NC_001491.2	+	ORF38-Monocistronic-Short-novTX_94	Tombacz_et_al	Monocistronic-Short	mRNA.TU.14-TSS.67.1-0--38.46	69795	distance <= 25	12	***	9		69807-71034				ORF38	0	0	0	0	0	0	1	0	0	1	1
NC_001491.2	+	ORF38-Putative mRNA-novTX_96	Tombacz_et_al	Putative mRNA	mRNA.TU.14-TSS.69.1-0--7.69	70276	distance <= 50	27	***	3		70249-71034				ORF38	0	0	0	0	1	0	1	0	0	2	2
NC_001491.2	+	ORF39	Torma_et_al				NA		***	9	28089.55076049	71119-73833				ORF39	0	0	0	1	79	272	21	55	41	469	6
NC_001491.2	+	ORF39-L1	Torma_et_al		mRNA.TU.14-TSS.71.1-0--15.38	70656	distance <= 25	16	***	5	1987.459501051	70672-73833				ORF39	0	0	0	0	0	1	0	1	1	3	3
NC_001491.2	+	ORF39-L2	Torma_et_al				NA					70903-73833				ORF39	0	0	0	0	0	3	3	0	1	7	3
