seqnames	strand	gene	score	support	start	end	width	thick.start	thick.end	thick.width	thick.names	clusterType	orientation	prime5	prime3	TSS.win.start	TSS.win.end	CAGE_significance
NC_001491.2	+	CAGE_cluster_1019	105.163529288	1	139598	139598	1	139598	139598	1	NC_001491.2:139598-139598;+	TSS	1	139598	139598	139598	139598	*
NC_001491.2	+	CAGE_cluster_102	111.819300011	1	15284	15284	1	15284	15284	1	NC_001491.2:15284-15284;+	TSS	1	15284	15284	15284	15284	*
NC_001491.2	+	CAGE_cluster_1020	453.514739229	1	139656	139656	1	139656	139656	1	NC_001491.2:139656-139656;+	TSS	1	139656	139656	139656	139656	*
NC_001491.2	+	CAGE_cluster_1021	111.819300011	1	140455	140455	1	140455	140455	1	NC_001491.2:140455-140455;+	TSS	1	140455	140455	140455	140455	*
NC_001491.2	+	CAGE_cluster_1022	651.26043826	2	140843	140854	12	140843	140843	1	NC_001491.2:140843-140854;+	TSS	1	140843	140854	140843	140854	*
NC_001491.2	+	CAGE_cluster_1023	197.745699031	1	140932	140932	1	140932	140932	1	NC_001491.2:140932-140932;+	TSS	1	140932	140932	140932	140932	*
NC_001491.2	+	CAGE_cluster_1024	216.982829299	2	140989	140989	1	140989	140989	1	NC_001491.2:140989-140989;+	TSS	1	140989	140989	140989	140989	*
NC_001491.2	+	CAGE_cluster_1025	155.424308362	1	141290	141290	1	141290	141290	1	NC_001491.2:141290-141290;+	TSS	1	141290	141290	141290	141290	*
NC_001491.2	+	CAGE_cluster_1026	111.819300011	1	141330	141330	1	141330	141330	1	NC_001491.2:141330-141330;+	TSS	1	141330	141330	141330	141330	*
NC_001491.2	+	CAGE_cluster_1027	197.745699031	1	141534	141534	1	141534	141534	1	NC_001491.2:141534-141534;+	TSS	1	141534	141534	141534	141534	*
NC_001491.2	+	CAGE_cluster_1028	105.163529288	1	141649	141649	1	141649	141649	1	NC_001491.2:141649-141649;+	TSS	1	141649	141649	141649	141649	*
NC_001491.2	+	CAGE_cluster_1029	197.745699031	1	141786	141786	1	141786	141786	1	NC_001491.2:141786-141786;+	TSS	1	141786	141786	141786	141786	*
NC_001491.2	+	CAGE_cluster_103	197.745699031	1	15312	15312	1	15312	15312	1	NC_001491.2:15312-15312;+	TSS	1	15312	15312	15312	15312	*
NC_001491.2	+	CAGE_cluster_1030	466.852265231	2	141969	141980	12	141980	141980	1	NC_001491.2:141969-141980;+	TSS	1	141969	141980	141969	141980	*
NC_001491.2	+	CAGE_cluster_1031	111.819300011	1	142282	142282	1	142282	142282	1	NC_001491.2:142282-142282;+	TSS	1	142282	142282	142282	142282	*
NC_001491.2	+	CAGE_cluster_1032	466.272925086	1	142769	142771	3	142769	142769	1	NC_001491.2:142769-142771;+	TSS	1	142769	142771	142769	142771	*
NC_001491.2	+	CAGE_cluster_1033	269.1065662	1	142865	142865	1	142865	142865	1	NC_001491.2:142865-142865;+	TSS	1	142865	142865	142865	142865	*
NC_001491.2	+	CAGE_cluster_1034	197.745699031	1	142985	142985	1	142985	142985	1	NC_001491.2:142985-142985;+	TSS	1	142985	142985	142985	142985	*
NC_001491.2	+	CAGE_cluster_1035	216.982829299	2	143034	143034	1	143034	143034	1	NC_001491.2:143034-143034;+	TSS	1	143034	143034	143034	143034	*
NC_001491.2	+	CAGE_cluster_1036	453.514739229	1	143182	143182	1	143182	143182	1	NC_001491.2:143182-143182;+	TSS	1	143182	143182	143182	143182	*
NC_001491.2	+	CAGE_cluster_1037	372.407137661	3	143421	143439	19	143439	143439	1	NC_001491.2:143421-143439;+	TSS	1	143421	143439	143421	143439	**
NC_001491.2	+	CAGE_cluster_1038	732.232915777	3	143460	143479	20	143479	143479	1	NC_001491.2:143460-143479;+	TSS	1	143460	143479	143460	143479	**
NC_001491.2	+	CAGE_cluster_1039	6134.170306508	8	144378	144404	27	144404	144404	1	NC_001491.2:144378-144404;+	TSS	1	144378	144404	144378	144404	***
NC_001491.2	+	CAGE_cluster_104	197.745699031	1	15344	15344	1	15344	15344	1	NC_001491.2:15344-15344;+	TSS	1	15344	15344	15344	15344	*
NC_001491.2	+	CAGE_cluster_1040	155.424308362	1	144432	144432	1	144432	144432	1	NC_001491.2:144432-144432;+	TSS	1	144432	144432	144432	144432	*
NC_001491.2	+	CAGE_cluster_1041	544.365813827	1	144635	144635	1	144635	144635	1	NC_001491.2:144635-144635;+	TSS	1	144635	144635	144635	144635	*
NC_001491.2	+	CAGE_cluster_1042	197.745699031	1	144672	144672	1	144672	144672	1	NC_001491.2:144672-144672;+	TSS	1	144672	144672	144672	144672	*
NC_001491.2	+	CAGE_cluster_1043	269.1065662	1	144930	144930	1	144930	144930	1	NC_001491.2:144930-144930;+	TSS	1	144930	144930	144930	144930	*
NC_001491.2	+	CAGE_cluster_1044	111.819300011	1	145027	145027	1	145027	145027	1	NC_001491.2:145027-145027;+	TSS	1	145027	145027	145027	145027	*
NC_001491.2	+	CAGE_cluster_1045	453.514739229	1	145058	145058	1	145058	145058	1	NC_001491.2:145058-145058;+	TSS	1	145058	145058	145058	145058	*
NC_001491.2	+	CAGE_cluster_1046	11075.494764475	9	145486	145498	13	145493	145493	1	NC_001491.2:145486-145498;+	TSS	1	145486	145498	145486	145498	***
NC_001491.2	+	CAGE_cluster_1047	105.163529288	1	145532	145532	1	145532	145532	1	NC_001491.2:145532-145532;+	TSS	1	145532	145532	145532	145532	*
NC_001491.2	+	CAGE_cluster_1048	197.745699031	1	145640	145640	1	145640	145640	1	NC_001491.2:145640-145640;+	TSS	1	145640	145640	145640	145640	*
NC_001491.2	+	CAGE_cluster_1049	421.384299053	2	145681	145683	3	145683	145683	1	NC_001491.2:145681-145683;+	TSS	1	145681	145683	145681	145683	*
NC_001491.2	+	CAGE_cluster_105	197.745699031	1	15435	15435	1	15435	15435	1	NC_001491.2:15435-15435;+	TSS	1	15435	15435	15435	15435	*
NC_001491.2	+	CAGE_cluster_1050	458.333536681	3	145732	145738	7	145738	145738	1	NC_001491.2:145732-145738;+	TSS	1	145732	145738	145732	145738	**
NC_001491.2	+	CAGE_cluster_1051	269.1065662	1	145771	145771	1	145771	145771	1	NC_001491.2:145771-145771;+	TSS	1	145771	145771	145771	145771	*
NC_001491.2	+	CAGE_cluster_1052	762.776506484	1	145861	145861	1	145861	145861	1	NC_001491.2:145861-145861;+	TSS	1	145861	145861	145861	145861	*
NC_001491.2	+	CAGE_cluster_1053	395.491398062	2	146071	146085	15	146071	146071	1	NC_001491.2:146071-146085;+	TSS	1	146071	146085	146071	146085	*
NC_001491.2	+	CAGE_cluster_1054	197.745699031	1	146182	146182	1	146182	146182	1	NC_001491.2:146182-146182;+	TSS	1	146182	146182	146182	146182	*
NC_001491.2	+	CAGE_cluster_1055	105.163529288	1	146942	146942	1	146942	146942	1	NC_001491.2:146942-146942;+	TSS	1	146942	146942	146942	146942	*
NC_001491.2	+	CAGE_cluster_1056	267.243608373	2	147426	147426	1	147426	147426	1	NC_001491.2:147426-147426;+	TSS	1	147426	147426	147426	147426	*
NC_001491.2	+	CAGE_cluster_1057	105.163529288	1	147545	147545	1	147545	147545	1	NC_001491.2:147545-147545;+	TSS	1	147545	147545	147545	147545	*
NC_001491.2	+	CAGE_cluster_1058	302.909228319	2	147573	147579	7	147573	147573	1	NC_001491.2:147573-147579;+	TSS	1	147573	147579	147573	147579	*
NC_001491.2	+	CAGE_cluster_1059	197.745699031	1	147716	147716	1	147716	147716	1	NC_001491.2:147716-147716;+	TSS	1	147716	147716	147716	147716	*
NC_001491.2	+	CAGE_cluster_106	105.163529288	1	15480	15480	1	15480	15480	1	NC_001491.2:15480-15480;+	TSS	1	15480	15480	15480	15480	*
NC_001491.2	+	CAGE_cluster_1060	111.819300011	1	147955	147955	1	147955	147955	1	NC_001491.2:147955-147955;+	TSS	1	147955	147955	147955	147955	*
NC_001491.2	+	CAGE_cluster_1061	269.1065662	1	148110	148110	1	148110	148110	1	NC_001491.2:148110-148110;+	TSS	1	148110	148110	148110	148110	*
NC_001491.2	+	CAGE_cluster_1062	111.819300011	1	148247	148247	1	148247	148247	1	NC_001491.2:148247-148247;+	TSS	1	148247	148247	148247	148247	*
NC_001491.2	+	CAGE_cluster_1063	105.163529288	1	148841	148841	1	148841	148841	1	NC_001491.2:148841-148841;+	TSS	1	148841	148841	148841	148841	*
NC_001491.2	+	CAGE_cluster_1064	105.163529288	1	148871	148871	1	148871	148871	1	NC_001491.2:148871-148871;+	TSS	1	148871	148871	148871	148871	*
NC_001491.2	+	CAGE_cluster_1065	155.424308362	1	148979	148979	1	148979	148979	1	NC_001491.2:148979-148979;+	TSS	1	148979	148979	148979	148979	*
NC_001491.2	+	CAGE_cluster_1066	155.424308362	1	149057	149057	1	149057	149057	1	NC_001491.2:149057-149057;+	TSS	1	149057	149057	149057	149057	*
NC_001491.2	+	CAGE_cluster_107	210.327058576	1	15509	15509	1	15509	15509	1	NC_001491.2:15509-15509;+	TSS	1	15509	15509	15509	15509	*
NC_001491.2	+	CAGE_cluster_108	529.69440385	3	15563	15563	1	15563	15563	1	NC_001491.2:15563-15563;+	TSS	1	15563	15563	15563	15563	**
NC_001491.2	+	CAGE_cluster_109	197.745699031	1	15586	15586	1	15586	15586	1	NC_001491.2:15586-15586;+	TSS	1	15586	15586	15586	15586	*
NC_001491.2	+	CAGE_cluster_11	197.745699031	1	1874	1874	1	1874	1874	1	NC_001491.2:1874-1874;+	TSS	1	1874	1874	1874	1874	*
NC_001491.2	+	CAGE_cluster_110	322.146358587	2	15629	15647	19	15629	15629	1	NC_001491.2:15629-15647;+	TSS	1	15629	15647	15629	15647	*
NC_001491.2	+	CAGE_cluster_111	2849.34208532	8	15668	15684	17	15682	15682	1	NC_001491.2:15668-15684;+	TSS	1	15668	15684	15668	15684	***
NC_001491.2	+	CAGE_cluster_112	260.58783765	2	15709	15710	2	15710	15710	1	NC_001491.2:15709-15710;+	TSS	1	15709	15710	15709	15710	*
NC_001491.2	+	CAGE_cluster_113	1764.55108293	6	15731	15755	25	15749	15749	1	NC_001491.2:15731-15755;+	TSS	1	15731	15755	15731	15755	***
NC_001491.2	+	CAGE_cluster_114	105.163529288	1	15791	15791	1	15791	15791	1	NC_001491.2:15791-15791;+	TSS	1	15791	15791	15791	15791	*
NC_001491.2	+	CAGE_cluster_115	1109.593974941	5	15815	15859	45	15859	15859	1	NC_001491.2:15815-15859;+	TSS	1	15815	15859	15815	15859	**
NC_001491.2	+	CAGE_cluster_116	2104.695917734	5	16077	16091	15	16077	16077	1	NC_001491.2:16077-16091;+	TSS	1	16077	16091	16077	16091	**
NC_001491.2	+	CAGE_cluster_117	421.384299053	2	16187	16199	13	16187	16187	1	NC_001491.2:16187-16199;+	TSS	1	16187	16199	16187	16199	*
NC_001491.2	+	CAGE_cluster_118	827.784834717	3	16235	16239	5	16239	16239	1	NC_001491.2:16235-16239;+	TSS	1	16235	16239	16235	16239	***
NC_001491.2	+	CAGE_cluster_119	878.045613791	3	16277	16279	3	16277	16277	1	NC_001491.2:16277-16279;+	TSS	1	16277	16279	16277	16279	***
NC_001491.2	+	CAGE_cluster_12	1018.848778469	2	2053	2053	1	2053	2053	1	NC_001491.2:2053-2053;+	TSS	1	2053	2053	2053	2053	*
NC_001491.2	+	CAGE_cluster_120	111.819300011	1	16417	16417	1	16417	16417	1	NC_001491.2:16417-16417;+	TSS	1	16417	16417	16417	16417	*
NC_001491.2	+	CAGE_cluster_121	105.163529288	1	16442	16442	1	16442	16442	1	NC_001491.2:16442-16442;+	TSS	1	16442	16442	16442	16442	*
NC_001491.2	+	CAGE_cluster_122	2175.914661723	4	16545	16556	12	16555	16555	1	NC_001491.2:16545-16556;+	TSS	1	16545	16556	16545	16556	**
NC_001491.2	+	CAGE_cluster_123	197.745699031	1	16837	16837	1	16837	16837	1	NC_001491.2:16837-16837;+	TSS	1	16837	16837	16837	16837	*
NC_001491.2	+	CAGE_cluster_124	197.745699031	1	16908	16908	1	16908	16908	1	NC_001491.2:16908-16908;+	TSS	1	16908	16908	16908	16908	*
NC_001491.2	+	CAGE_cluster_125	197.745699031	1	17068	17068	1	17068	17068	1	NC_001491.2:17068-17068;+	TSS	1	17068	17068	17068	17068	*
NC_001491.2	+	CAGE_cluster_126	197.745699031	1	17110	17110	1	17110	17110	1	NC_001491.2:17110-17110;+	TSS	1	17110	17110	17110	17110	*
NC_001491.2	+	CAGE_cluster_127	197.745699031	1	17188	17188	1	17188	17188	1	NC_001491.2:17188-17188;+	TSS	1	17188	17188	17188	17188	*
NC_001491.2	+	CAGE_cluster_128	3600.301543071	8	17222	17231	10	17231	17231	1	NC_001491.2:17222-17231;+	TSS	1	17222	17231	17222	17231	***
NC_001491.2	+	CAGE_cluster_129	155.424308362	1	17314	17314	1	17314	17314	1	NC_001491.2:17314-17314;+	TSS	1	17314	17314	17314	17314	*
NC_001491.2	+	CAGE_cluster_13	155.424308362	1	2196	2196	1	2196	2196	1	NC_001491.2:2196-2196;+	TSS	1	2196	2196	2196	2196	*
NC_001491.2	+	CAGE_cluster_130	155.424308362	1	17412	17412	1	17412	17412	1	NC_001491.2:17412-17412;+	TSS	1	17412	17412	17412	17412	*
NC_001491.2	+	CAGE_cluster_131	1602.339141163	6	17444	17474	31	17460	17460	1	NC_001491.2:17444-17474;+	TSS	1	17444	17474	17444	17474	***
NC_001491.2	+	CAGE_cluster_132	853.930812869	3	17500	17527	28	17517	17517	1	NC_001491.2:17500-17527;+	TSS	1	17500	17527	17500	17527	***
NC_001491.2	+	CAGE_cluster_133	529.69440385	3	17567	17569	3	17567	17567	1	NC_001491.2:17567-17569;+	TSS	1	17567	17569	17567	17569	**
NC_001491.2	+	CAGE_cluster_134	1229.628771715	3	17694	17697	4	17697	17697	1	NC_001491.2:17694-17697;+	TSS	1	17694	17697	17694	17697	***
NC_001491.2	+	CAGE_cluster_135	197.745699031	1	17722	17722	1	17722	17722	1	NC_001491.2:17722-17722;+	TSS	1	17722	17722	17722	17722	*
NC_001491.2	+	CAGE_cluster_136	803.564155669	3	17745	17747	3	17745	17745	1	NC_001491.2:17745-17747;+	TSS	1	17745	17747	17745	17747	***
NC_001491.2	+	CAGE_cluster_137	1335.348609951	2	17898	17901	4	17898	17898	1	NC_001491.2:17898-17901;+	TSS	1	17898	17901	17898	17901	*
NC_001491.2	+	CAGE_cluster_138	63752.914516575	9	17951	18020	70	17985	17985	1	NC_001491.2:17951-18020;+	TSS	1	17951	18020	17951	18020	***
NC_001491.2	+	CAGE_cluster_139	111.819300011	1	18050	18050	1	18050	18050	1	NC_001491.2:18050-18050;+	TSS	1	18050	18050	18050	18050	*
NC_001491.2	+	CAGE_cluster_14	267.243608373	2	2222	2227	6	2222	2222	1	NC_001491.2:2222-2227;+	TSS	1	2222	2227	2222	2227	*
NC_001491.2	+	CAGE_cluster_140	2123.034758364	5	18090	18097	8	18095	18095	1	NC_001491.2:18090-18097;+	TSS	1	18090	18097	18090	18097	**
NC_001491.2	+	CAGE_cluster_141	1741.107978909	4	18128	18154	27	18152	18152	1	NC_001491.2:18128-18154;+	TSS	1	18128	18154	18128	18154	**
NC_001491.2	+	CAGE_cluster_142	105.163529288	1	18176	18176	1	18176	18176	1	NC_001491.2:18176-18176;+	TSS	1	18176	18176	18176	18176	*
NC_001491.2	+	CAGE_cluster_143	155.424308362	1	18331	18331	1	18331	18331	1	NC_001491.2:18331-18331;+	TSS	1	18331	18331	18331	18331	*
NC_001491.2	+	CAGE_cluster_144	911.84827591	4	18363	18382	20	18382	18382	1	NC_001491.2:18363-18382;+	TSS	1	18363	18382	18363	18382	**
NC_001491.2	+	CAGE_cluster_145	269.1065662	1	18413	18413	1	18413	18413	1	NC_001491.2:18413-18413;+	TSS	1	18413	18413	18413	18413	*
NC_001491.2	+	CAGE_cluster_146	269.1065662	1	18456	18456	1	18456	18456	1	NC_001491.2:18456-18456;+	TSS	1	18456	18456	18456	18456	*
NC_001491.2	+	CAGE_cluster_147	1156.840041188	4	18485	18515	31	18487	18487	1	NC_001491.2:18485-18515;+	TSS	1	18485	18515	18485	18515	**
NC_001491.2	+	CAGE_cluster_148	111.819300011	1	18547	18547	1	18547	18547	1	NC_001491.2:18547-18547;+	TSS	1	18547	18547	18547	18547	*
NC_001491.2	+	CAGE_cluster_149	105.163529288	1	18575	18575	1	18575	18575	1	NC_001491.2:18575-18575;+	TSS	1	18575	18575	18575	18575	*
NC_001491.2	+	CAGE_cluster_15	767.898535723	4	2478	2481	4	2480	2480	1	NC_001491.2:2478-2481;+	TSS	1	2478	2481	2478	2481	**
NC_001491.2	+	CAGE_cluster_150	105.163529288	1	18611	18611	1	18611	18611	1	NC_001491.2:18611-18611;+	TSS	1	18611	18611	18611	18611	*
NC_001491.2	+	CAGE_cluster_151	269.1065662	1	18781	18781	1	18781	18781	1	NC_001491.2:18781-18781;+	TSS	1	18781	18781	18781	18781	*
NC_001491.2	+	CAGE_cluster_152	197.745699031	1	18837	18837	1	18837	18837	1	NC_001491.2:18837-18837;+	TSS	1	18837	18837	18837	18837	*
NC_001491.2	+	CAGE_cluster_153	576.808607415	3	18893	18897	5	18897	18897	1	NC_001491.2:18893-18897;+	TSS	1	18893	18897	18893	18897	**
NC_001491.2	+	CAGE_cluster_154	374.270095488	2	18931	18932	2	18931	18931	1	NC_001491.2:18931-18932;+	TSS	1	18931	18932	18931	18932	*
NC_001491.2	+	CAGE_cluster_155	216.982829299	2	18970	18982	13	18970	18970	1	NC_001491.2:18970-18982;+	TSS	1	18970	18982	18970	18982	*
NC_001491.2	+	CAGE_cluster_156	353.170007393	2	19008	19023	16	19008	19008	1	NC_001491.2:19008-19023;+	TSS	1	19008	19023	19008	19023	*
NC_001491.2	+	CAGE_cluster_157	597.90869551	3	19085	19110	26	19107	19107	1	NC_001491.2:19085-19110;+	TSS	1	19085	19110	19085	19110	**
NC_001491.2	+	CAGE_cluster_158	414.72852833	3	19150	19171	22	19150	19150	1	NC_001491.2:19150-19171;+	TSS	1	19150	19171	19150	19171	**
NC_001491.2	+	CAGE_cluster_159	1928.332629883	6	19217	19290	74	19267	19267	1	NC_001491.2:19217-19290;+	TSS	1	19217	19290	19217	19290	***
NC_001491.2	+	CAGE_cluster_16	302.909228319	2	2594	2595	2	2595	2595	1	NC_001491.2:2594-2595;+	TSS	1	2594	2595	2594	2595	*
NC_001491.2	+	CAGE_cluster_160	1734.34633006	5	19322	19347	26	19322	19322	1	NC_001491.2:19322-19347;+	TSS	1	19322	19347	19322	19347	**
NC_001491.2	+	CAGE_cluster_161	353.170007393	2	19449	19464	16	19464	19464	1	NC_001491.2:19449-19464;+	TSS	1	19449	19464	19449	19464	*
NC_001491.2	+	CAGE_cluster_162	1122.931500943	5	19561	19597	37	19585	19585	1	NC_001491.2:19561-19597;+	TSS	1	19561	19597	19561	19597	**
NC_001491.2	+	CAGE_cluster_163	77902.069581753	9	19628	19686	59	19661	19661	1	NC_001491.2:19628-19686;+	TSS	1	19628	19686	19628	19686	***
NC_001491.2	+	CAGE_cluster_164	733.516533458	2	19710	19711	2	19710	19710	1	NC_001491.2:19710-19711;+	TSS	1	19710	19711	19710	19711	*
NC_001491.2	+	CAGE_cluster_165	4045.168194915	7	19741	19749	9	19741	19741	1	NC_001491.2:19741-19749;+	TSS	1	19741	19749	19741	19749	***
NC_001491.2	+	CAGE_cluster_166	720.758347602	3	19794	19826	33	19826	19826	1	NC_001491.2:19794-19826;+	TSS	1	19794	19826	19794	19826	**
NC_001491.2	+	CAGE_cluster_167	1661.731472486	5	19866	19886	21	19885	19885	1	NC_001491.2:19866-19886;+	TSS	1	19866	19886	19866	19886	**
NC_001491.2	+	CAGE_cluster_168	2189.69804256	5	19907	19913	7	19911	19911	1	NC_001491.2:19907-19913;+	TSS	1	19907	19913	19907	19913	**
NC_001491.2	+	CAGE_cluster_169	111.819300011	1	20082	20082	1	20082	20082	1	NC_001491.2:20082-20082;+	TSS	1	20082	20082	20082	20082	*
NC_001491.2	+	CAGE_cluster_17	46784.823665342	9	2650	2702	53	2669	2669	1	NC_001491.2:2650-2702;+	TSS	1	2650	2702	2650	2702	***
NC_001491.2	+	CAGE_cluster_170	762.776506484	1	20114	20114	1	20114	20114	1	NC_001491.2:20114-20114;+	TSS	1	20114	20114	20114	20114	*
NC_001491.2	+	CAGE_cluster_171	105.163529288	1	20763	20763	1	20763	20763	1	NC_001491.2:20763-20763;+	TSS	1	20763	20763	20763	20763	*
NC_001491.2	+	CAGE_cluster_172	105.163529288	1	21263	21263	1	21263	21263	1	NC_001491.2:21263-21263;+	TSS	1	21263	21263	21263	21263	*
NC_001491.2	+	CAGE_cluster_173	269.1065662	1	21442	21442	1	21442	21442	1	NC_001491.2:21442-21442;+	TSS	1	21442	21442	21442	21442	*
NC_001491.2	+	CAGE_cluster_174	105.163529288	1	21520	21520	1	21520	21520	1	NC_001491.2:21520-21520;+	TSS	1	21520	21520	21520	21520	*
NC_001491.2	+	CAGE_cluster_175	105.163529288	1	21761	21761	1	21761	21761	1	NC_001491.2:21761-21761;+	TSS	1	21761	21761	21761	21761	*
NC_001491.2	+	CAGE_cluster_176	2188.578868196	6	22580	22580	1	22580	22580	1	NC_001491.2:22580-22580;+	TSS	1	22580	22580	22580	22580	***
NC_001491.2	+	CAGE_cluster_177	105.163529288	1	22642	22642	1	22642	22642	1	NC_001491.2:22642-22642;+	TSS	1	22642	22642	22642	22642	*
NC_001491.2	+	CAGE_cluster_178	155.424308362	1	22861	22861	1	22861	22861	1	NC_001491.2:22861-22861;+	TSS	1	22861	22861	22861	22861	*
NC_001491.2	+	CAGE_cluster_179	155.424308362	1	22924	22924	1	22924	22924	1	NC_001491.2:22924-22924;+	TSS	1	22924	22924	22924	22924	*
NC_001491.2	+	CAGE_cluster_18	1295.729981746	4	2726	2729	4	2729	2729	1	NC_001491.2:2726-2729;+	TSS	1	2726	2729	2726	2729	**
NC_001491.2	+	CAGE_cluster_180	111.819300011	1	22988	22988	1	22988	22988	1	NC_001491.2:22988-22988;+	TSS	1	22988	22988	22988	22988	*
NC_001491.2	+	CAGE_cluster_181	269.1065662	1	23038	23038	1	23038	23038	1	NC_001491.2:23038-23038;+	TSS	1	23038	23038	23038	23038	*
NC_001491.2	+	CAGE_cluster_182	309.564999042	2	23079	23079	1	23079	23079	1	NC_001491.2:23079-23079;+	TSS	1	23079	23079	23079	23079	*
NC_001491.2	+	CAGE_cluster_183	466.852265231	2	23111	23111	1	23111	23111	1	NC_001491.2:23111-23111;+	TSS	1	23111	23111	23111	23111	*
NC_001491.2	+	CAGE_cluster_184	155.424308362	1	23242	23242	1	23242	23242	1	NC_001491.2:23242-23242;+	TSS	1	23242	23242	23242	23242	*
NC_001491.2	+	CAGE_cluster_185	197.745699031	1	24459	24459	1	24459	24459	1	NC_001491.2:24459-24459;+	TSS	1	24459	24459	24459	24459	*
NC_001491.2	+	CAGE_cluster_186	111.819300011	1	24577	24577	1	24577	24577	1	NC_001491.2:24577-24577;+	TSS	1	24577	24577	24577	24577	*
NC_001491.2	+	CAGE_cluster_187	395.491398062	1	24737	24737	1	24737	24737	1	NC_001491.2:24737-24737;+	TSS	1	24737	24737	24737	24737	*
NC_001491.2	+	CAGE_cluster_188	453.514739229	1	24807	24807	1	24807	24807	1	NC_001491.2:24807-24807;+	TSS	1	24807	24807	24807	24807	*
NC_001491.2	+	CAGE_cluster_189	578.671565242	3	24835	24839	5	24839	24839	1	NC_001491.2:24835-24839;+	TSS	1	24835	24839	24835	24839	**
NC_001491.2	+	CAGE_cluster_19	17199.247139549	9	2773	2780	8	2777	2777	1	NC_001491.2:2773-2780;+	TSS	1	2773	2780	2773	2780	***
NC_001491.2	+	CAGE_cluster_190	867.940035772	2	24861	24861	1	24861	24861	1	NC_001491.2:24861-24861;+	TSS	1	24861	24861	24861	24861	*
