seqnames	strand	correct_tss	prime5	sample	hpi	Time	cell_line	group	count	endtype	pos	start	end
NC_001491.2	-	TRUE	94550	EHV1_cage_A			RK-13	EHV1_cage_A	98	prime5	94550	94550	94550
NC_001491.2	+	TRUE	55322	EHV1_cage_A			RK-13	EHV1_cage_A	320	prime5	55322	55322	55322
NC_001491.2	+	TRUE	14364	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	14364	14364	14364
NC_001491.2	-	TRUE	106672	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	106672	106672	106672
NC_001491.2	+	TRUE	17985	EHV1_cage_A			RK-13	EHV1_cage_A	36	prime5	17985	17985	17985
NC_001491.2	+	TRUE	12760	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	12760	12760	12760
NC_001491.2	-	TRUE	25771	EHV1_cage_A			RK-13	EHV1_cage_A	13	prime5	25771	25771	25771
NC_001491.2	-	TRUE	25769	EHV1_cage_A			RK-13	EHV1_cage_A	386	prime5	25769	25769	25769
NC_001491.2	-	TRUE	48284	EHV1_cage_A			RK-13	EHV1_cage_A	168	prime5	48284	48284	48284
NC_001491.2	+	TRUE	135564	EHV1_cage_A			RK-13	EHV1_cage_A	261	prime5	135564	135564	135564
NC_001491.2	+	TRUE	61310	EHV1_cage_A			RK-13	EHV1_cage_A	40	prime5	61310	61310	61310
NC_001491.2	+	TRUE	7112	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	7112	7112	7112
NC_001491.2	+	TRUE	126340	EHV1_cage_A			RK-13	EHV1_cage_A	16	prime5	126340	126340	126340
NC_001491.2	+	TRUE	15083	EHV1_cage_A			RK-13	EHV1_cage_A	56	prime5	15083	15083	15083
NC_001491.2	-	TRUE	47374	EHV1_cage_A			RK-13	EHV1_cage_A	143	prime5	47374	47374	47374
NC_001491.2	+	TRUE	127637	EHV1_cage_A			RK-13	EHV1_cage_A	14	prime5	127637	127637	127637
NC_001491.2	-	TRUE	112033	EHV1_cage_A			RK-13	EHV1_cage_A	52	prime5	112033	112033	112033
NC_001491.2	+	TRUE	86365	EHV1_cage_A			RK-13	EHV1_cage_A	23	prime5	86365	86365	86365
NC_001491.2	-	TRUE	74183	EHV1_cage_A			RK-13	EHV1_cage_A	125	prime5	74183	74183	74183
NC_001491.2	-	TRUE	117674	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	117674	117674	117674
NC_001491.2	-	TRUE	108735	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	108735	108735	108735
NC_001491.2	+	TRUE	132880	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	132880	132880	132880
NC_001491.2	+	TRUE	81902	EHV1_cage_A			RK-13	EHV1_cage_A	180	prime5	81902	81902	81902
NC_001491.2	-	TRUE	7077	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	7077	7077	7077
NC_001491.2	+	TRUE	86362	EHV1_cage_A			RK-13	EHV1_cage_A	75	prime5	86362	86362	86362
NC_001491.2	+	TRUE	121003	EHV1_cage_A			RK-13	EHV1_cage_A	56	prime5	121003	121003	121003
NC_001491.2	+	TRUE	17697	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	17697	17697	17697
NC_001491.2	+	TRUE	121002	EHV1_cage_A			RK-13	EHV1_cage_A	118	prime5	121002	121002	121002
NC_001491.2	+	TRUE	121006	EHV1_cage_A			RK-13	EHV1_cage_A	80	prime5	121006	121006	121006
NC_001491.2	+	TRUE	137820	EHV1_cage_A			RK-13	EHV1_cage_A	7	prime5	137820	137820	137820
NC_001491.2	+	TRUE	126338	EHV1_cage_A			RK-13	EHV1_cage_A	109	prime5	126338	126338	126338
NC_001491.2	+	TRUE	119535	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	119535	119535	119535
NC_001491.2	+	TRUE	19661	EHV1_cage_A			RK-13	EHV1_cage_A	48	prime5	19661	19661	19661
NC_001491.2	+	TRUE	84819	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	84819	84819	84819
NC_001491.2	+	TRUE	134347	EHV1_cage_A			RK-13	EHV1_cage_A	73	prime5	134347	134347	134347
NC_001491.2	+	TRUE	132676	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	132676	132676	132676
NC_001491.2	-	TRUE	4310	EHV1_cage_A			RK-13	EHV1_cage_A	6	prime5	4310	4310	4310
NC_001491.2	+	TRUE	90683	EHV1_cage_A			RK-13	EHV1_cage_A	58	prime5	90683	90683	90683
NC_001491.2	-	TRUE	2675	EHV1_cage_A			RK-13	EHV1_cage_A	23	prime5	2675	2675	2675
NC_001491.2	-	TRUE	28983	EHV1_cage_A			RK-13	EHV1_cage_A	112	prime5	28983	28983	28983
NC_001491.2	-	TRUE	12263	EHV1_cage_A			RK-13	EHV1_cage_A	37	prime5	12263	12263	12263
NC_001491.2	-	TRUE	7400	EHV1_cage_A			RK-13	EHV1_cage_A	20	prime5	7400	7400	7400
NC_001491.2	+	TRUE	38392	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	38392	38392	38392
NC_001491.2	-	TRUE	66428	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	66428	66428	66428
NC_001491.2	+	TRUE	12468	EHV1_cage_A			RK-13	EHV1_cage_A	97	prime5	12468	12468	12468
NC_001491.2	-	TRUE	55192	EHV1_cage_A			RK-13	EHV1_cage_A	23	prime5	55192	55192	55192
NC_001491.2	-	TRUE	108732	EHV1_cage_A			RK-13	EHV1_cage_A	48	prime5	108732	108732	108732
NC_001491.2	-	TRUE	33051	EHV1_cage_A			RK-13	EHV1_cage_A	40	prime5	33051	33051	33051
NC_001491.2	-	TRUE	5952	EHV1_cage_A			RK-13	EHV1_cage_A	88	prime5	5952	5952	5952
NC_001491.2	-	TRUE	10442	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	10442	10442	10442
NC_001491.2	+	TRUE	131515	EHV1_cage_A			RK-13	EHV1_cage_A	11	prime5	131515	131515	131515
NC_001491.2	+	TRUE	10880	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	10880	10880	10880
NC_001491.2	+	TRUE	26127	EHV1_cage_A			RK-13	EHV1_cage_A	8	prime5	26127	26127	26127
NC_001491.2	-	TRUE	33053	EHV1_cage_A			RK-13	EHV1_cage_A	35	prime5	33053	33053	33053
NC_001491.2	-	TRUE	66261	EHV1_cage_A			RK-13	EHV1_cage_A	17	prime5	66261	66261	66261
NC_001491.2	+	TRUE	94352	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime5	94352	94352	94352
NC_001491.2	+	TRUE	46325	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	46325	46325	46325
NC_001491.2	+	TRUE	69806	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	69806	69806	69806
NC_001491.2	-	TRUE	33046	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	33046	33046	33046
NC_001491.2	+	TRUE	36504	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	36504	36504	36504
NC_001491.2	+	TRUE	44543	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	44543	44543	44543
NC_001491.2	-	TRUE	66258	EHV1_cage_A			RK-13	EHV1_cage_A	19	prime5	66258	66258	66258
NC_001491.2	-	TRUE	126358	EHV1_cage_A			RK-13	EHV1_cage_A	7	prime5	126358	126358	126358
NC_001491.2	-	TRUE	119292	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	119292	119292	119292
NC_001491.2	+	TRUE	2669	EHV1_cage_A			RK-13	EHV1_cage_A	51	prime5	2669	2669	2669
NC_001491.2	+	TRUE	76605	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	76605	76605	76605
NC_001491.2	+	TRUE	19662	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime5	19662	19662	19662
NC_001491.2	+	TRUE	50576	EHV1_cage_A			RK-13	EHV1_cage_A	16	prime5	50576	50576	50576
NC_001491.2	+	TRUE	88428	EHV1_cage_A			RK-13	EHV1_cage_A	12	prime5	88428	88428	88428
NC_001491.2	+	TRUE	63492	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	63492	63492	63492
NC_001491.2	+	TRUE	77362	EHV1_cage_A			RK-13	EHV1_cage_A	28	prime5	77362	77362	77362
NC_001491.2	-	TRUE	94806	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	94806	94806	94806
NC_001491.2	+	TRUE	76512	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime5	76512	76512	76512
NC_001491.2	-	TRUE	59828	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	59828	59828	59828
NC_001491.2	+	TRUE	86364	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	86364	86364	86364
NC_001491.2	+	TRUE	45483	EHV1_cage_A			RK-13	EHV1_cage_A	13	prime5	45483	45483	45483
NC_001491.2	-	TRUE	74184	EHV1_cage_A			RK-13	EHV1_cage_A	12	prime5	74184	74184	74184
NC_001491.2	+	TRUE	19640	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime5	19640	19640	19640
NC_001491.2	+	TRUE	15236	EHV1_cage_A			RK-13	EHV1_cage_A	25	prime5	15236	15236	15236
NC_001491.2	+	TRUE	12471	EHV1_cage_A			RK-13	EHV1_cage_A	86	prime5	12471	12471	12471
NC_001491.2	+	TRUE	78940	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	78940	78940	78940
NC_001491.2	-	TRUE	108317	EHV1_cage_A			RK-13	EHV1_cage_A	140	prime5	108317	108317	108317
NC_001491.2	+	TRUE	19322	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	19322	19322	19322
NC_001491.2	-	TRUE	2672	EHV1_cage_A			RK-13	EHV1_cage_A	50	prime5	2672	2672	2672
NC_001491.2	+	TRUE	55324	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	55324	55324	55324
NC_001491.2	-	TRUE	88991	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime5	88991	88991	88991
NC_001491.2	-	TRUE	5967	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	5967	5967	5967
NC_001491.2	+	TRUE	19741	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime5	19741	19741	19741
NC_001491.2	-	TRUE	108321	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	108321	108321	108321
NC_001491.2	+	TRUE	50523	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	50523	50523	50523
NC_001491.2	+	TRUE	88297	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime5	88297	88297	88297
NC_001491.2	+	TRUE	119654	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	119654	119654	119654
NC_001491.2	+	TRUE	20114	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	20114	20114	20114
NC_001491.2	-	TRUE	125326	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	125326	125326	125326
NC_001491.2	+	TRUE	27258	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	27258	27258	27258
NC_001491.2	-	TRUE	21209	EHV1_cage_A			RK-13	EHV1_cage_A	22	prime5	21209	21209	21209
NC_001491.2	+	TRUE	92600	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	92600	92600	92600
NC_001491.2	-	TRUE	87987	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	87987	87987	87987
NC_001491.2	+	TRUE	50449	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	50449	50449	50449
NC_001491.2	+	TRUE	89318	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime5	89318	89318	89318
NC_001491.2	-	TRUE	43704	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	43704	43704	43704
NC_001491.2	+	TRUE	92409	EHV1_cage_A			RK-13	EHV1_cage_A	25	prime5	92409	92409	92409
NC_001491.2	+	TRUE	134647	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	134647	134647	134647
NC_001491.2	-	TRUE	47372	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	47372	47372	47372
NC_001491.2	+	TRUE	18095	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	18095	18095	18095
NC_001491.2	-	TRUE	4312	EHV1_cage_A			RK-13	EHV1_cage_A	36	prime5	4312	4312	4312
NC_001491.2	+	TRUE	15234	EHV1_cage_A			RK-13	EHV1_cage_A	11	prime5	15234	15234	15234
NC_001491.2	-	TRUE	2538	EHV1_cage_A			RK-13	EHV1_cage_A	37	prime5	2538	2538	2538
NC_001491.2	-	TRUE	49211	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	49211	49211	49211
NC_001491.2	-	TRUE	4226	EHV1_cage_A			RK-13	EHV1_cage_A	6	prime5	4226	4226	4226
NC_001491.2	-	TRUE	112938	EHV1_cage_A			RK-13	EHV1_cage_A	6	prime5	112938	112938	112938
NC_001491.2	+	TRUE	122821	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	122821	122821	122821
NC_001491.2	+	TRUE	90656	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	90656	90656	90656
NC_001491.2	+	TRUE	25483	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	25483	25483	25483
NC_001491.2	+	TRUE	118878	EHV1_cage_A			RK-13	EHV1_cage_A	16	prime5	118878	118878	118878
NC_001491.2	+	TRUE	101610	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	101610	101610	101610
NC_001491.2	+	TRUE	10049	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	10049	10049	10049
NC_001491.2	-	TRUE	112032	EHV1_cage_A			RK-13	EHV1_cage_A	7	prime5	112032	112032	112032
NC_001491.2	-	TRUE	31344	EHV1_cage_A			RK-13	EHV1_cage_A	87	prime5	31344	31344	31344
NC_001491.2	+	TRUE	77593	EHV1_cage_A			RK-13	EHV1_cage_A	42	prime5	77593	77593	77593
NC_001491.2	-	TRUE	66055	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	66055	66055	66055
NC_001491.2	-	TRUE	119215	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	119215	119215	119215
NC_001491.2	+	TRUE	126336	EHV1_cage_A			RK-13	EHV1_cage_A	19	prime5	126336	126336	126336
NC_001491.2	+	TRUE	134563	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	134563	134563	134563
NC_001491.2	+	TRUE	12466	EHV1_cage_A			RK-13	EHV1_cage_A	17	prime5	12466	12466	12466
NC_001491.2	+	TRUE	13528	EHV1_cage_A			RK-13	EHV1_cage_A	24	prime5	13528	13528	13528
NC_001491.2	-	TRUE	84686	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	84686	84686	84686
NC_001491.2	+	TRUE	105375	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	105375	105375	105375
NC_001491.2	+	TRUE	102284	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	102284	102284	102284
NC_001491.2	+	TRUE	121000	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	121000	121000	121000
NC_001491.2	+	TRUE	55395	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	55395	55395	55395
NC_001491.2	+	TRUE	78713	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	78713	78713	78713
NC_001491.2	+	TRUE	92413	EHV1_cage_A			RK-13	EHV1_cage_A	22	prime5	92413	92413	92413
NC_001491.2	-	TRUE	31345	EHV1_cage_A			RK-13	EHV1_cage_A	17	prime5	31345	31345	31345
NC_001491.2	+	TRUE	64691	EHV1_cage_A			RK-13	EHV1_cage_A	29	prime5	64691	64691	64691
NC_001491.2	+	TRUE	135684	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	135684	135684	135684
NC_001491.2	+	TRUE	77356	EHV1_cage_A			RK-13	EHV1_cage_A	15	prime5	77356	77356	77356
NC_001491.2	-	TRUE	68546	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	68546	68546	68546
NC_001491.2	+	TRUE	81905	EHV1_cage_A			RK-13	EHV1_cage_A	24	prime5	81905	81905	81905
NC_001491.2	-	TRUE	70113	EHV1_cage_A			RK-13	EHV1_cage_A	11	prime5	70113	70113	70113
NC_001491.2	+	TRUE	52312	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	52312	52312	52312
NC_001491.2	-	TRUE	112036	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	112036	112036	112036
NC_001491.2	-	TRUE	112029	EHV1_cage_A			RK-13	EHV1_cage_A	8	prime5	112029	112029	112029
NC_001491.2	-	TRUE	28242	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	28242	28242	28242
NC_001491.2	+	TRUE	96454	EHV1_cage_A			RK-13	EHV1_cage_A	32	prime5	96454	96454	96454
NC_001491.2	+	TRUE	90720	EHV1_cage_A			RK-13	EHV1_cage_A	15	prime5	90720	90720	90720
NC_001491.2	+	TRUE	81917	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	81917	81917	81917
NC_001491.2	+	TRUE	84367	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime5	84367	84367	84367
NC_001491.2	+	TRUE	136600	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	136600	136600	136600
NC_001491.2	-	TRUE	117299	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	117299	117299	117299
NC_001491.2	+	TRUE	69298	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	69298	69298	69298
NC_001491.2	-	TRUE	47376	EHV1_cage_A			RK-13	EHV1_cage_A	9	prime5	47376	47376	47376
NC_001491.2	+	TRUE	84192	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	84192	84192	84192
NC_001491.2	+	TRUE	50517	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	50517	50517	50517
NC_001491.2	+	TRUE	92378	EHV1_cage_A			RK-13	EHV1_cage_A	13	prime5	92378	92378	92378
NC_001491.2	+	TRUE	33234	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	33234	33234	33234
NC_001491.2	+	TRUE	90586	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	90586	90586	90586
NC_001491.2	+	TRUE	77109	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	77109	77109	77109
NC_001491.2	-	TRUE	25767	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	25767	25767	25767
NC_001491.2	-	TRUE	10087	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	10087	10087	10087
NC_001491.2	+	TRUE	83232	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	83232	83232	83232
NC_001491.2	+	TRUE	50106	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	50106	50106	50106
NC_001491.2	-	TRUE	85669	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	85669	85669	85669
NC_001491.2	+	TRUE	18152	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	18152	18152	18152
NC_001491.2	-	TRUE	54998	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	54998	54998	54998
NC_001491.2	+	TRUE	64684	EHV1_cage_A			RK-13	EHV1_cage_A	30	prime5	64684	64684	64684
NC_001491.2	-	TRUE	107138	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	107138	107138	107138
NC_001491.2	+	TRUE	84366	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	84366	84366	84366
NC_001491.2	-	TRUE	22742	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	22742	22742	22742
NC_001491.2	+	TRUE	113955	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	113955	113955	113955
NC_001491.2	+	TRUE	50572	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	50572	50572	50572
NC_001491.2	-	TRUE	129210	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	129210	129210	129210
NC_001491.2	-	TRUE	55194	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	55194	55194	55194
NC_001491.2	+	TRUE	122259	EHV1_cage_A			RK-13	EHV1_cage_A	6	prime5	122259	122259	122259
NC_001491.2	+	TRUE	1252	EHV1_cage_A			RK-13	EHV1_cage_A	45	prime5	1252	1252	1252
NC_001491.2	+	TRUE	27281	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	27281	27281	27281
NC_001491.2	-	TRUE	107137	EHV1_cage_A			RK-13	EHV1_cage_A	15	prime5	107137	107137	107137
NC_001491.2	-	TRUE	100017	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	100017	100017	100017
NC_001491.2	-	TRUE	90427	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	90427	90427	90427
NC_001491.2	-	TRUE	76348	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	76348	76348	76348
NC_001491.2	+	TRUE	13591	EHV1_cage_A			RK-13	EHV1_cage_A	9	prime5	13591	13591	13591
NC_001491.2	+	TRUE	6469	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	6469	6469	6469
NC_001491.2	-	TRUE	124678	EHV1_cage_A			RK-13	EHV1_cage_A	9	prime5	124678	124678	124678
NC_001491.2	-	TRUE	48298	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	48298	48298	48298
NC_001491.2	+	TRUE	81904	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	81904	81904	81904
NC_001491.2	+	TRUE	50570	EHV1_cage_A			RK-13	EHV1_cage_A	9	prime5	50570	50570	50570
NC_001491.2	+	TRUE	25481	EHV1_cage_A			RK-13	EHV1_cage_A	2	prime5	25481	25481	25481
NC_001491.2	-	TRUE	74187	EHV1_cage_A			RK-13	EHV1_cage_A	15	prime5	74187	74187	74187
NC_001491.2	+	TRUE	119386	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	119386	119386	119386
NC_001491.2	+	TRUE	137827	EHV1_cage_A			RK-13	EHV1_cage_A	5	prime5	137827	137827	137827
NC_001491.2	+	TRUE	135566	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	135566	135566	135566
NC_001491.2	+	TRUE	102672	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	102672	102672	102672
NC_001491.2	-	TRUE	48286	EHV1_cage_A			RK-13	EHV1_cage_A	8	prime5	48286	48286	48286
NC_001491.2	+	TRUE	33238	EHV1_cage_A			RK-13	EHV1_cage_A	8	prime5	33238	33238	33238
NC_001491.2	-	TRUE	70115	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	70115	70115	70115
NC_001491.2	-	TRUE	125330	EHV1_cage_A			RK-13	EHV1_cage_A	3	prime5	125330	125330	125330
NC_001491.2	-	TRUE	66265	EHV1_cage_A			RK-13	EHV1_cage_A	7	prime5	66265	66265	66265
NC_001491.2	+	TRUE	137831	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	137831	137831	137831
NC_001491.2	-	TRUE	143601	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	143601	143601	143601
NC_001491.2	-	TRUE	94204	EHV1_cage_A			RK-13	EHV1_cage_A	1	prime5	94204	94204	94204
NC_001491.2	-	TRUE	108730	EHV1_cage_A			RK-13	EHV1_cage_A	4	prime5	108730	108730	108730
