contig	source	feature	start	end	score	strand	frame	info	method	12h-1	12h-2	12h-3	18h-1	18h-2	18h-3	1h_1	1h_2	1h_3	24h-1	24h-2	24h-3	2h_1	2h_2	2h_3	48h-1	48h-2	48h-3	4h-1	4h-2	4h-3	6h-1	6h-2	6h-3	8h-1	8h-2	8h-3
NC_001491.2	LoRTIA	intron	121069	121286	170	+	.	GT/AG	12h-1	170	135	111	68	34	30	0	0	0	62	47	44	134	101	66	109	74	90	119	113	169	130	109	111	128	120	203
NC_001491.2	LoRTIA	intron	121069	121269	4	.	.		12h-1	4	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	2	0	2	0	4	2	3
NC_001491.2	LoRTIA	intron	104395	105513	5	+	.	GT/AG	12h-1	5	0	0	18	18	11	0	0	0	17	20	17	0	0	0	79	78	99	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	105163	105513	31	+	.	GT/AG	12h-1	31	11	21	37	24	30	0	0	0	20	18	18	0	0	0	84	73	97	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	110402	111272	3	.	.		12h-1	3	0	2	0	0	2	0	0	0	0	0	0	4	7	4	7	0	0	0	0	0	0	0	0	2	2	0
NC_001491.2	LoRTIA	intron	111280	112850	3	-	.	GT/AG	12h-1	3	2	2	0	0	2	0	0	0	3	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	111488	114109	2	+	.	GC/AG	12h-1	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	111861	114109	2	+	.	GT/AG	12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	121069	121270	16	.	.		12h-1	16	18	12	2	0	2	0	0	0	2	3	2	11	12	13	0	3	8	9	11	12	11	14	12	14	17	24
NC_001491.2	LoRTIA	intron	112354	112470	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	113359	113706	4	.	.		12h-1	4	2	2	5	0	5	0	0	0	4	0	0	0	0	0	23	17	8	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	118732	119103	19	-	.	GT/AG	12h-1	19	28	19	2	3	0	10	6	7	4	3	0	21	13	23	2	0	8	16	4	7	0	3	0	7	8	26
NC_001491.2	LoRTIA	intron	119137	119460	37	+	.	GT/AG	12h-1	37	32	35	49	29	34	0	0	0	49	37	27	14	13	11	114	99	141	8	4	7	13	13	17	11	11	24
NC_001491.2	LoRTIA	intron	119225	119460	14	+	.	GT/AG	12h-1	14	12	7	29	21	18	0	0	0	31	30	18	0	0	2	133	132	160	0	0	0	0	2	0	0	0	5
NC_001491.2	LoRTIA	intron	119662	120917	13	+	.	GT/AG	12h-1	13	18	11	39	27	24	0	0	0	42	27	22	0	0	0	71	55	133	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	121049	122149	2	.	.		12h-1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	3	0
NC_001491.2	LoRTIA	intron	112358	112474	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	125235	125359	3	-	.	GT/AG	12h-1	3	3	0	0	2	0	0	0	0	6	2	3	0	0	0	10	9	40	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	125476	125567	2	.	.		12h-1	2	7	3	7	4	4	0	0	0	6	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0
NC_001491.2	LoRTIA	intron	125478	125567	2	+	.	GC/AG	12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	141874	142054	38	-	.	GT/AG	12h-1	38	28	25	5	5	0	0	0	0	4	3	0	0	16	13	0	0	15	22	0	32	21	20	20	21	0	41
NC_001491.2	LoRTIA	intron	141880	142075	15	+	.	AT/AC	12h-1	15	6	17	0	2	0	0	0	0	5	3	3	11	7	7	3	0	10	7	13	16	17	10	7	10	13	20
NC_001491.2	LoRTIA	intron	141880	142091	23	+	.	AT/AC	12h-1	23	12	11	0	3	3	0	0	0	0	0	4	0	0	8	0	0	12	11	11	0	14	11	0	0	12	20
NC_001491.2	LoRTIA	intron	141882	142051	27	.	.		12h-1	27	0	0	4	2	0	0	0	0	3	0	0	25	0	11	0	0	0	0	0	0	0	0	0	19	0	0
NC_001491.2	LoRTIA	intron	141890	142091	3	.	.		12h-1	3	7	3	0	0	0	0	0	0	0	0	0	4	3	6	0	0	4	7	8	6	6	3	5	4	9	11
NC_001491.2	LoRTIA	intron	141891	142091	2	.	.		12h-1	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	4	0	3
NC_001491.2	LoRTIA	intron	141874	142051	500	-	.	GT/AG	12h-1	500	439	479	66	39	34	2	0	0	53	31	27	331	240	191	53	54	259	312	312	395	372	343	296	361	406	724
NC_001491.2	LoRTIA	intron	141891	142075	3	.	.		12h-1	3	6	6	2	0	0	0	0	0	0	0	0	4	0	3	0	0	0	5	3	4	3	3	3	9	2	6
NC_001491.2	LoRTIA	intron	141892	142075	5	.	.		12h-1	5	2	5	0	0	0	0	0	0	0	0	0	4	2	0	0	2	0	2	5	4	0	3	2	2	4	3
NC_001491.2	LoRTIA	intron	141892	142087	3	.	.		12h-1	3	2	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	142243	143498	14	-	.	GT/AG	12h-1	14	18	11	38	27	24	0	0	0	41	28	22	0	0	0	71	54	135	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	143700	144023	37	-	.	GT/AG	12h-1	37	32	35	49	27	35	0	0	0	49	37	27	14	13	11	113	101	144	8	4	7	13	13	17	11	11	24
NC_001491.2	LoRTIA	intron	143700	143935	14	-	.	GT/AG	12h-1	14	12	7	29	21	18	0	0	0	31	30	18	0	0	2	133	131	159	0	0	0	0	2	0	0	0	5
NC_001491.2	LoRTIA	intron	144057	144428	19	+	.	GT/AG	12h-1	19	28	18	2	3	0	10	6	7	4	3	0	21	14	21	2	0	8	16	4	7	0	3	0	7	8	26
NC_001491.2	LoRTIA	intron	141891	142084	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	141874	142071	2	-	.	GT/AG	12h-1	2	2	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	2	7
NC_001491.2	LoRTIA	intron	141874	142075	9	-	.	GT/AG	12h-1	9	5	7	0	4	0	0	0	0	0	0	0	5	6	4	2	3	8	6	7	8	3	3	10	6	10	13
NC_001491.2	LoRTIA	intron	141874	142091	256	-	.	GT/AG	12h-1	256	213	173	78	40	39	0	0	0	75	62	53	195	158	119	128	92	132	189	168	240	205	164	184	180	186	329
NC_001491.2	LoRTIA	intron	125479	125567	8	.	.		12h-1	8	5	8	9	3	6	0	0	0	3	5	4	0	0	0	3	0	2	0	0	0	0	2	0	0	0	4
NC_001491.2	LoRTIA	intron	125482	125567	9	.	.		12h-1	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3
NC_001491.2	LoRTIA	intron	125487	125573	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	125487	125567	4	+	.	GT/AG	12h-1	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_001491.2	LoRTIA	intron	129203	129962	2	-	.	GT/AG	12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	130059	131012	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	132022	132566	2	+	.	GT/AG	12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	133132	133197	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	133137	133193	4	.	.		12h-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	137588	137673	5	.	.		12h-1	5	0	0	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
NC_001491.2	LoRTIA	intron	137593	137681	2	.	.		12h-1	2	0	3	4	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	139930	139974	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	141011	142111	2	.	.		12h-1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	3	0
NC_001491.2	LoRTIA	intron	141577	141775	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	141820	142087	2	-	.	GT/AG	12h-1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	3	2	0	0	0
NC_001491.2	LoRTIA	intron	104391	105513	15	+	.	GT/AG	12h-1	15	9	11	71	72	71	0	0	0	118	83	81	0	0	0	346	342	411	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	148492	149057	2	.	.		12h-1	2	2	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	104073	105144	4	.	.		12h-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	98132	102839	2	+	.	GT/AG	12h-1	2	2	0	9	8	11	0	0	0	65	49	39	0	0	0	225	163	206	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	13653	13837	2	.	.		12h-1	2	2	2	3	0	3	0	0	0	3	3	2	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	17333	17476	4	-	.	GC/AG	12h-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	17843	18092	4	.	.		12h-1	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	18255	20308	7	+	.	GT/AG	12h-1	7	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	19649	20327	9	.	.		12h-1	9	7	13	16	0	10	0	0	0	18	9	7	0	0	0	22	10	0	0	0	0	0	0	4	5	0	0
NC_001491.2	LoRTIA	intron	24580	24639	74	.	.		12h-1	74	30	41	25	24	13	0	0	0	11	10	4	0	0	0	8	14	12	0	6	0	16	32	26	20	22	28
NC_001491.2	LoRTIA	intron	13410	13529	8	-	.	GT/AG	12h-1	8	3	0	0	4	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2
NC_001491.2	LoRTIA	intron	24581	24639	104	.	.		12h-1	104	60	85	56	54	50	0	0	0	18	27	12	0	2	0	24	22	24	8	4	0	35	45	36	35	57	46
NC_001491.2	LoRTIA	intron	24583	24642	10	.	.		12h-1	10	9	9	0	5	5	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	5	6
NC_001491.2	LoRTIA	intron	24584	24642	12	.	.		12h-1	12	8	11	5	6	5	0	0	0	0	2	0	0	0	0	5	3	0	0	0	0	0	4	6	4	6	0
NC_001491.2	LoRTIA	intron	24590	24645	174	.	.		12h-1	174	113	152	78	73	46	0	0	0	17	20	18	4	0	0	30	24	46	4	11	6	77	65	67	44	90	84
NC_001491.2	LoRTIA	intron	26138	26200	2	.	.		12h-1	2	3	0	3	0	0	0	0	0	0	4	3	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	31892	32692	3	.	.		12h-1	3	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	32978	34607	3	+	.	GT/AG	12h-1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	24583	24639	40	.	.		12h-1	40	23	18	11	9	7	0	0	0	5	3	2	0	0	0	6	5	6	0	2	0	9	5	6	5	14	16
NC_001491.2	LoRTIA	intron	35155	35798	6	-	.	GT/AG	12h-1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	13410	14814	14	-	.	GT/AG	12h-1	14	13	8	27	15	16	0	0	0	24	17	26	0	0	0	37	40	44	0	0	0	0	0	0	2	0	5
NC_001491.2	LoRTIA	intron	12736	13039	8	-	.	GC/AG	12h-1	8	13	25	0	0	0	0	0	0	3	3	0	0	0	0	0	5	0	0	0	0	0	2	4	2	0	0
NC_001491.2	LoRTIA	intron	6689	9509	25	+	.	GT/AG	12h-1	25	8	20	18	14	13	0	0	0	22	12	10	0	0	0	46	35	42	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	6851	9509	2	+	.	GT/AG	12h-1	2	2	2	5	4	8	0	0	0	7	7	8	0	0	0	13	12	16	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	7251	9509	3	+	.	GT/AG	12h-1	3	2	2	8	9	3	0	0	0	10	2	4	0	0	0	7	2	7	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	7257	7294	2	+	.	GT/AG	12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	7875	9509	38	+	.	GT/AG	12h-1	38	25	25	28	22	21	0	0	0	39	37	27	0	0	0	48	50	56	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	8840	9509	3	+	.	GT/AG	12h-1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	12741	13043	8	.	.		12h-1	8	8	0	0	3	0	0	0	0	4	2	2	0	0	0	8	0	0	0	0	0	0	0	4	3	0	0
NC_001491.2	LoRTIA	intron	9234	9509	5	+	.	GT/AG	12h-1	5	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	11127	11278	2	.	.		12h-1	2	0	2	2	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0
NC_001491.2	LoRTIA	intron	11481	12353	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	11597	13133	14	-	.	GT/AG	12h-1	14	6	6	46	25	35	0	0	0	47	41	45	0	0	0	62	48	64	0	0	0	0	0	0	2	0	0
NC_001491.2	LoRTIA	intron	12196	13133	13	-	.	GT/AG	12h-1	13	5	6	5	11	9	0	0	0	11	6	10	0	0	0	16	22	30	0	0	0	0	0	0	3	0	0
NC_001491.2	LoRTIA	intron	12378	13133	10	-	.	GT/AG	12h-1	10	11	3	6	0	7	0	0	0	8	3	3	0	0	0	6	5	6	0	0	0	0	0	0	0	0	3
NC_001491.2	LoRTIA	intron	12410	13043	4	.	.		12h-1	4	6	4	0	3	2	0	0	0	4	2	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0
NC_001491.2	LoRTIA	intron	9555	10681	28	+	.	GT/AG	12h-1	28	13	18	43	29	28	0	0	0	39	20	25	0	0	0	38	44	38	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	44884	44974	3	-	.	GT/AG	12h-1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	63631	63991	32	+	.	GT/AG	12h-1	32	19	15	17	19	7	0	0	0	17	16	6	0	0	0	12	9	0	0	0	0	2	0	3	2	0	2
NC_001491.2	LoRTIA	intron	66371	69899	2	.	.		12h-1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	80607	80670	9	.	.		12h-1	9	0	8	4	0	0	0	0	0	5	0	7	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0
NC_001491.2	LoRTIA	intron	83442	84179	7	-	.	GC/AG	12h-1	7	3	4	8	8	12	0	0	0	5	8	10	0	0	0	16	14	15	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	84321	84434	48	-	.	GT/AG	12h-1	48	26	41	22	20	20	0	0	0	26	19	14	0	0	0	33	24	27	0	0	0	3	2	2	7	13	16
NC_001491.2	LoRTIA	intron	84321	84928	35	-	.	GT/AG	12h-1	35	24	27	31	27	15	0	0	0	34	29	25	0	0	0	40	40	78	0	0	0	2	0	0	2	2	5
NC_001491.2	LoRTIA	intron	84321	87885	139	-	.	GT/AG	12h-1	139	92	87	45	28	28	0	0	0	48	44	34	4	4	2	64	42	69	13	9	9	10	17	19	25	39	50
NC_001491.2	LoRTIA	intron	84321	89991	6	-	.	GT/AG	12h-1	6	0	5	5	0	2	0	0	0	0	3	0	0	0	0	5	6	8	0	0	2	3	3	2	2	2	5
NC_001491.2	LoRTIA	intron	80236	81845	32	.	.		12h-1	32	35	28	10	7	0	0	0	0	9	8	8	0	0	0	13	12	0	0	0	0	2	2	2	0	6	8
NC_001491.2	LoRTIA	intron	84321	90575	3	-	.	GT/AG	12h-1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	84321	91888	16	-	.	GT/AG	12h-1	16	6	5	23	11	11	0	0	0	27	12	22	0	0	0	36	18	27	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	84321	92233	5	-	.	GT/AG	12h-1	5	6	7	8	5	2	0	0	0	5	4	6	0	0	0	8	6	6	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	94030	94257	14	.	.		12h-1	14	11	15	15	8	5	0	0	0	15	7	3	0	0	0	21	17	8	0	0	0	2	2	5	4	0	7
NC_001491.2	LoRTIA	intron	94101	94532	8	.	.		12h-1	8	2	6	5	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2
NC_001491.2	LoRTIA	intron	94116	94553	2	+	.	GT/AG	12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	96572	96943	5	+	.	GT/AG	12h-1	5	2	0	10	19	13	0	0	0	117	75	77	0	0	0	318	175	228	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	84321	91000	10	-	.	GT/AG	12h-1	10	7	3	3	2	0	0	0	0	3	0	2	0	0	0	4	2	9	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	78331	78778	20	-	.	GT/AG	12h-1	20	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	10
NC_001491.2	LoRTIA	intron	78314	78789	10	.	.		12h-1	10	0	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0
NC_001491.2	LoRTIA	intron	78309	78778	164	.	.		12h-1	164	63	89	8	5	8	0	0	0	16	20	9	0	0	0	17	13	0	0	0	0	0	2	2	26	28	38
NC_001491.2	LoRTIA	intron	66377	69903	26	+	.	GT/AG	12h-1	26	19	28	14	4	16	0	0	0	20	8	10	0	0	0	22	13	28	0	0	0	0	0	0	0	2	4
NC_001491.2	LoRTIA	intron	66755	69903	11	+	.	GT/AG	12h-1	11	5	4	15	17	11	0	0	0	19	16	8	0	0	0	24	15	19	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	66990	69903	4	+	.	GT/AG	12h-1	4	3	5	13	12	6	0	0	0	15	11	17	0	0	0	18	12	21	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	67727	69903	3	+	.	GT/AG	12h-1	3	3	0	4	2	0	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	67899	68804	3	.	.		12h-1	3	0	3	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0
NC_001491.2	LoRTIA	intron	68514	69903	12	+	.	GT/AG	12h-1	12	8	10	19	18	11	0	0	0	26	14	13	0	0	0	27	33	30	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	68848	69903	2	+	.	GT/AG	12h-1	2	2	4	0	0	0	0	0	0	0	3	0	0	0	0	4	2	5	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	70016	70333	3	.	.		12h-1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	74360	74406	3	.	.		12h-1	3	0	0	0	3	0	0	0	0	3	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	74378	74417	2	.	.		12h-1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	74386	74426	3	.	.		12h-1	3	0	4	2	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	74386	74430	2	.	.		12h-1	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	74386	74591	2	+	.	GT/AG	12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	74685	77085	2	+	.	GT/AG	12h-1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	76133	76252	2	.	.		12h-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	103770	105513	13	+	.	GT/AG	12h-1	13	11	10	86	91	78	0	0	0	175	132	131	0	0	0	396	387	477	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	149370	149717	2	.	.		12h-1	2	0	0	2	0	2	0	0	0	3	0	0	0	0	0	17	13	8	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	58	1105	2	.	.		12h-2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_001491.2	LoRTIA	intron	121069	121268	3	.	.		12h-2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	2
NC_001491.2	LoRTIA	intron	121109	121150	3	.	.		12h-2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	3	0
